,연도,시도,의료인력수,사용량,위도,경도
172,2018,경상남도,26074,34647863,35.460156,128.215601
173,2019,경상남도,27744,35158611,35.460156,128.215601
174,2020,경상남도,28757,34472017,35.460156,128.215601
175,2021,경상남도,29444,34069974,35.460156,128.215601
176,2011,제주특별자치도,3682,3574622,33.424967,126.778084
177,2012,제주특별자치도,3604,3710080,33.424967,126.778084
178,2013,제주특별자치도,4145,3864639,33.424967,126.778084
179,2014,제주특별자치도,4331,4094900,33.424967,126.778084
180,2015,제주특별자치도,4566,4220090,33.424967,126.778084
181,2016,제주특별자치도,4809,4429551,33.424967,126.778084
182,2017,제주특별자치도,5079,4738201,33.424967,126.778084
183,2018,제주특별자치도,5317,5013544,33.424967,126.778084
184,2019,제주특별자치도,5575,5272603,33.424967,126.778084
185,2020,제주특별자치도,5706,5374284,33.424967,126.778084
186,2021,제주특별자치도,5984,5373287,33.424967,126.778084
