,시도,인구수,연도,월,사용량,위도,경도
223,부산광역시,3484183.0,2017,8,1979171.0,35.209853,129.069121
224,부산광역시,3482804.0,2017,9,1848565.0,35.209853,129.069121
225,부산광역시,3478109.0,2017,10,1569820.0,35.209853,129.069121
226,부산광역시,3474534.0,2017,11,1675282.0,35.209853,129.069121
227,부산광역시,3470653.0,2017,12,1850113.0,35.209853,129.069121
228,부산광역시,3467055.0,2018,1,1966689.0,35.209853,129.069121
229,부산광역시,3465407.0,2018,2,1898871.0,35.209853,129.069121
230,부산광역시,3463103.0,2018,3,1714122.0,35.209853,129.069121
231,부산광역시,3460707.0,2018,4,1675122.0,35.209853,129.069121
232,부산광역시,3458134.0,2018,5,1594722.0,35.209853,129.069121
233,부산광역시,3455611.0,2018,6,1647154.0,35.209853,129.069121
234,부산광역시,3453198.0,2018,7,1813944.0,35.209853,129.069121
235,부산광역시,3451049.0,2018,8,2095583.0,35.209853,129.069121
236,부산광역시,3449593.0,2018,9,1841933.0,35.209853,129.069121
237,부산광역시,3446856.0,2018,10,1605288.0,35.209853,129.069121
238,부산광역시,3444540.0,2018,11,1639619.0,35.209853,129.069121
239,부산광역시,3441453.0,2018,12,1723557.0,35.209853,129.069121
240,부산광역시,3438259.0,2019,1,1906812.0,35.209853,129.069121
241,부산광역시,3436230.0,2019,2,1753708.0,35.209853,129.069121
242,부산광역시,3434091.0,2019,3,1652037.0,35.209853,129.069121
243,부산광역시,3431750.0,2019,4,1669235.0,35.209853,129.069121
244,부산광역시,3429595.0,2019,5,1596068.0,35.209853,129.069121
245,부산광역시,3427632.0,2019,6,1633070.0,35.209853,129.069121
246,부산광역시,3425317.0,2019,7,1724989.0,35.209853,129.069121
247,부산광역시,3423209.0,2019,8,1966047.0,35.209853,129.069121
248,부산광역시,3421502.0,2019,9,1847006.0,35.209853,129.069121
249,부산광역시,3418871.0,2019,10,1676463.0,35.209853,129.069121
250,부산광역시,3416721.0,2019,11,1633512.0,35.209853,129.069121
251,부산광역시,3413841.0,2019,12,1743462.0,35.209853,129.069121
252,부산광역시,3411819.0,2020,1,1832430.0,35.209853,129.069121
253,부산광역시,3410925.0,2020,2,1782217.0,35.209853,129.069121
254,부산광역시,3409932.0,2020,3,1670111.0,35.209853,129.069121
255,부산광역시,3408347.0,2020,4,1607069.0,35.209853,129.069121
256,부산광역시,3406942.0,2020,5,1510099.0,35.209853,129.069121
257,부산광역시,3404423.0,2020,6,1615016.0,35.209853,129.069121
258,부산광역시,3402776.0,2020,7,1701538.0,35.209853,129.069121
259,부산광역시,3401072.0,2020,8,1883786.0,35.209853,129.069121
260,부산광역시,3399749.0,2020,9,1944267.0,35.209853,129.069121
261,부산광역시,3397598.0,2020,10,1555323.0,35.209853,129.069121
262,부산광역시,3395514.0,2020,11,1623880.0,35.209853,129.069121
263,부산광역시,3391946.0,2020,12,1778233.0,35.209853,129.069121
264,부산광역시,3389388.0,2021,1,1862280.0,35.209853,129.069121
265,부산광역시,3387761.0,2021,2,1762335.0,35.209853,129.069121
266,부산광역시,3372399.0,2021,3,1656492.0,35.209853,129.069121
267,부산광역시,3369704.0,2021,4,1654340.0,35.209853,129.069121
268,부산광역시,3367334.0,2021,5,1572221.0,35.209853,129.069121
269,부산광역시,3364358.0,2021,6,1676954.0,35.209853,129.069121
270,부산광역시,3361781.0,2021,7,1861381.0,35.209853,129.069121
271,부산광역시,3359527.0,2021,8,2037219.0,35.209853,129.069121
272,부산광역시,3358763.0,2021,9,1842289.0,35.209853,129.069121
273,부산광역시,3356311.0,2021,10,1680885.0,35.209853,129.069121
274,부산광역시,3353627.0,2021,11,1674216.0,35.209853,129.069121
275,부산광역시,3350380.0,2021,12,1787220.0,35.209853,129.069121
276,부산광역시,3348874.0,2022,1,,,
277,부산광역시,3347396.0,2022,2,,,
278,부산광역시,3343504.0,2022,3,,,
279,부산광역시,3340214.0,2022,4,,,
280,부산광역시,3338167.0,2022,5,,,
281,부산광역시,3336737.0,2022,6,,,
282,부산광역시,3334595.0,2022,7,,,
283,부산광역시,3331444.0,2022,8,,,
284,부산광역시,3323826.0,2022,9,,,
285,부산광역시,3322286.0,2022,10,,,
286,부산광역시,3320276.0,2022,11,,,
287,부산광역시,3317812.0,2022,12,,,
288,대구광역시,2512071.0,2011,1,1418812.0,35.825757,128.576897
289,대구광역시,2512321.0,2011,2,1336667.0,35.825757,128.576897
290,대구광역시,2511231.0,2011,3,1234507.0,35.825757,128.576897
291,대구광역시,2510773.0,2011,4,1216588.0,35.825757,128.576897
292,대구광역시,2510644.0,2011,5,1126409.0,35.825757,128.576897
293,대구광역시,2510243.0,2011,6,1163368.0,35.825757,128.576897
294,대구광역시,2509833.0,2011,7,1243303.0,35.825757,128.576897
295,대구광역시,2510079.0,2011,8,1286641.0,35.825757,128.576897
296,대구광역시,2509609.0,2011,9,1211616.0,35.825757,128.576897
