,년월,연도,월,시도,사용량,주택가격변동률
207,2010_2,2010,2,경상북도,3471888,0.4
208,2010_2,2010,2,광주광역시,682498,0.57
209,2010_2,2010,2,대구광역시,1269135,0.32
210,2010_2,2010,2,대전광역시,778458,0.99
211,2010_2,2010,2,부산광역시,1731722,1.17
212,2010_2,2010,2,서울특별시,4168168,0.17
213,2010_2,2010,2,세종특별자치시,0,0
214,2010_2,2010,2,울산광역시,2042581,0.59
215,2010_2,2010,2,인천광역시,1841774,-0.03
216,2010_2,2010,2,전라남도,2005193,0.3
217,2010_2,2010,2,전라북도,1592103,0.59
218,2010_2,2010,2,제주특별자치도,317412,0.64
219,2010_2,2010,2,충청남도,3188393,0.13
220,2010_2,2010,2,충청북도,1675101,0.74
221,2011_2,2011,2,강원도,1520498,0.54
222,2011_2,2011,2,경기도,8918913,0.38
223,2011_2,2011,2,경상남도,2931864,1.97
224,2011_2,2011,2,경상북도,3684612,0.24
225,2011_2,2011,2,광주광역시,717292,1.39
226,2011_2,2011,2,대구광역시,1336667,0.8
227,2011_2,2011,2,대전광역시,825822,1.71
228,2011_2,2011,2,부산광역시,1837733,1.63
229,2011_2,2011,2,서울특별시,4264449,0.23
230,2011_2,2011,2,세종특별자치시,0,0
231,2011_2,2011,2,울산광역시,2121380,0.97
232,2011_2,2011,2,인천광역시,1883873,0.13
233,2011_2,2011,2,전라남도,2252039,0.45
234,2011_2,2011,2,전라북도,1841244,1.31
235,2011_2,2011,2,제주특별자치도,341807,1.18
236,2011_2,2011,2,충청남도,3586953,0.26
237,2011_2,2011,2,충청북도,1767686,1.16
238,2012_2,2012,2,강원도,1546100,0.69
239,2012_2,2012,2,경기도,9311873,0.45
240,2012_2,2012,2,경상남도,3129982,3.32
241,2012_2,2012,2,경상북도,3832480,0.81
242,2012_2,2012,2,광주광역시,737378,1.66
243,2012_2,2012,2,대구광역시,1375774,0.93
244,2012_2,2012,2,대전광역시,846326,1.54
245,2012_2,2012,2,부산광역시,1890655,1.96
246,2012_2,2012,2,서울특별시,4298788,0.22
247,2012_2,2012,2,세종특별자치시,0,0
248,2012_2,2012,2,울산광역시,2398278,1.48
249,2012_2,2012,2,인천광역시,2070475,0.15
250,2012_2,2012,2,전라남도,2382964,0.67
251,2012_2,2012,2,전라북도,1959294,0.8
252,2012_2,2012,2,제주특별자치도,358007,0.1
253,2012_2,2012,2,충청남도,3877003,0.83
254,2012_2,2012,2,충청북도,1900372,1.87
255,2013_2,2013,2,강원도,1494196,1.16
256,2013_2,2013,2,경기도,9265981,0.39
257,2013_2,2013,2,경상남도,3003028,5.53
258,2013_2,2013,2,경상북도,3717744,0.66
259,2013_2,2013,2,광주광역시,709493,2.53
260,2013_2,2013,2,대구광역시,1336301,1.1
261,2013_2,2013,2,대전광역시,824259,1.56
262,2013_2,2013,2,부산광역시,1793538,3.5
263,2013_2,2013,2,서울특별시,4189413,0.14
