"구분별(1)",구분별(2),2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"구분별(1)",구분별(2),인원 (명),지급건수 (건),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),지급건수 (건),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),지급건수 (건),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원)
"지급총액 규모별",5억 초과,5854,138636,7726862,231830,6027,111200,8301710,248411,7123,363288,9998900,299685,7656,10867954,325809,8046,11880333,356128,8152,12275989,368481,8563,13175173,393911,9065,14268161,428829,10025,15672178,469733,11101,17549956,526003,12526,19983545,598492,14679,23814793,719200,14561,24184975,732428,17175,28223689,852887
"10분위 분포별",소계,2851151,4755953,38011067,1181759,2965680,4935321,39660961,1225361,3085626,6603376,45336675,1395772,3277898,49710224,1523032,3491817,53461534,1630390,3667149,55307135,1681827,4005925,59871030,1812145,4635776,67628850,2045273,5185759,76848797,2317982,5631758,85782863,2583764,6131867,94123854,2830874,6688444,105026436,3163143,7043969,108701787,3265123,7878928,123383638,3695569
"10분위 분포별",상위 10%내,285115,1019249,27629532,848655,296568,996639,28816611,879569,308562,2247211,32925621,1002963,327790,35974951,1092452,349181,38785507,1174070,366714,40041120,1210528,400592,43457874,1309303,463577,48850095,1473311,518575,54507932,1640552,563175,59360768,1785311,613186,64908476,1950276,668844,72706385,2193174,704396,75506953,2274609,787892,85291489,2565327
"10분위 분포별",상위 20%내,285115,628239,5434687,176677,296568,653555,5611739,181149,308562,750719,6263634,200501,327790,6882094,217624,349182,7387342,231337,366715,7708539,239626,400593,8344476,257238,463578,9646090,295506,518576,11238324,342410,563176,12767871,387404,613187,13890430,420472,668844,15215998,458813,704397,15869037,475281,787893,18269312,544137
"10분위 분포별",상위 30%내,285115,573775,2704404,86814,296568,593958,2822814,90095,308562,671591,3223813,102182,327790,3553168,111655,349182,3808120,118662,366715,3938527,121863,400592,4205034,129075,463577,4807090,146658,518576,5753654,174784,563176,6818459,206541,613187,7504422,226666,668845,8258767,248365,704397,8395870,251054,787893,9684454,287632
"10분위 분포별",상위 40%내,285115,491301,1277366,40286,296568,511288,1354065,42552,308562,572471,1595612,49907,327790,1771812,55161,349181,1881411,58220,366715,1947074,59767,400593,2066571,63026,463578,2338139,70959,518576,2853309,86331,563176,3537738,106761,613186,3962570,119303,668844,4411821,132204,704397,4440948,132358,787893,5105667,151373
"10분위 분포별",상위 50%내,285115,426584,589838,18300,296568,449874,637348,19724,308562,498501,773603,23883,327790,869371,26755,349182,913923,27969,366715,950842,28924,400592,1012988,30659,463578,1128157,33989,518576,1404300,42210,563176,1806415,54240,613187,2064569,61823,668845,2334514,69585,704397,2360261,70114,787893,2677468,79201
"10분위 분포별",상위 60%내,285115,380682,251461,7619,296568,411964,277162,8412,308562,441836,352040,10696,327790,408494,12393,349182,424276,12833,366715,441224,13295,400593,474780,14218,463577,520417,15459,518576,663228,19697,563175,886044,26329,613187,1041455,30893,668844,1199832,35471,704397,1220948,36032,787892,1361777,40042
"10분위 분포별",상위 70%내,285115,342170,89899,2611,296568,371047,102363,2975,308562,400518,141644,4171,327790,171239,5044,349181,176873,5200,366715,185097,5422,400592,199799,5807,463578,217101,6258,518576,278997,8067,563176,393653,11470,613186,479463,14012,668844,563902,16419,704397,574003,16683,787893,628889,18207
"10분위 분포별",상위 80%내,285115,312685,25453,651,296568,338422,30008,754,308562,370135,47083,1247,327790,60239,1626,349182,63437,1716,366715,68839,1870,400593,77131,2105,463577,83326,2263,518576,106153,2941,563176,150278,4210,613187,191227,5412,668845,229723,6461,704397,231940,6521,787893,256037,7090
"10분위 분포별",상위 90%내,285115,294518,6860,125,296568,309248,7272,112,308562,339598,11827,200,327790,16404,312,349182,18254,368,366715,22371,509,400592,27354,670,463578,31953,811,518576,36701,931,563176,51463,1367,613187,66530,1774,668844,83803,2219,704397,82240,2130,787893,88897,2259
"10분위 분포별",상위 100%내,285116,286750,1566,20,296568,299326,1581,20,308568,310796,1797,23,327788,2452,12,349182,2391,13,366715,3501,23,400593,5023,44,463578,6482,59,518576,6200,57,563176,10173,132,613187,14712,243,668845,21691,432,704397,19587,341,787893,19650,301
"내외국인별",소계,2851151,4755953,38011067,1181759,2965680,4935321,39660961,1225361,3085626,6603376,45336675,1395772,3277898,49710224,1523032,3491817,53461534,1630390,3667149,55307135,1681827,4005925,59871030,1812145,4635776,67628850,2045273,5185759,76848797,2317982,5631758,85782863,2583764,6131867,94123854,2830874,6688444,105026436,3163143,7043969,108701787,3265123,7878928,123383638,3695569
"내외국인별",내국인,2813390,4685823,37387673,1162684,2918155,4851155,38959975,1204152,3030759,6484538,44504729,1370612,3226346,48972050,1500537,3433006,52606084,1604387,3599479,54299996,1651338,3926678,58772626,1778920,4533186,66317151,2005011,5051721,75110194,2265654,5446149,83784484,2523485,5900365,91758543,2759594,6393573,102070928,3065144,6746786,105611751,3161583,7569707,119743897,3575282
"내외국인별",외국인,37761,70130,623394,19075,47525,84166,700986,21208,54867,118838,831946,25160,51552,738173,22495,58811,855451,26003,67670,1007139,30489,79247,1098404,33225,102590,1311699,40262,134038,1738603,52328,159471,1891075,57038,202503,2235316,67363,259105,2809118,93584,275028,2984224,100188,287098,3515164,116367
"내외국인별",기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26138,107303,3240,28999,129995,3916,35766,146391,4415,22155,105812,3352,22123,124577,3920
"성별",소계,2850019,4752408,37997084,1181323,2952138,4917406,39607476,1224024,3070377,6572935,45279896,1394109,3262088,49551571,1518272,3477481,53415037,1628857,3645336,55058824,1674381,3961970,59695188,1807071,4590100,67476270,2040612,5151898,76752524,2315125,5631758,85782863,2583764,6131867,94123854,2830874,6688444,105026436,3163143,7043969,108701787,3265123,7878928,123383638,3695569
"성별",남성,1121349,2049520,22897830,690751,1147804,2079201,24038698,723796,1196973,3233695,27437830,826073,1257417,30042246,903980,1327804,32506096,977227,1417241,34191100,1028000,1563919,37418733,1122454,1863325,42164406,1266576,2146202,47677966,1430287,2424545,53665294,1609404,2689791,59457727,1781708,3031725,67036698,2015943,3260321,70174379,2106281,3677303,79460707,2378529
"성별",여성,1728670,2702888,15099254,490572,1804334,2838205,15568777,500228,1873404,3339240,17842066,568036,2004671,19509324,614292,2149677,20908942,651630,2228095,20867724,646381,2398051,22276455,684617,2726775,25311863,774036,3005696,29074558,884838,3182174,32007503,971046,3413873,34544999,1045520,3622093,37857744,1143241,3762747,38435204,1155933,4181530,43826200,1314153
"성별",기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25039,110066,3314,28203,121128,3647,34626,131994,3959,20901,92204,2909,20095,96731,2887
"연령별",소계,2850019,4752408,37997084,1181323,2952138,4917406,39607476,1224024,3070377,6572935,45279896,1394109,3262088,49551571,1518272,3477481,53415037,1628857,3645336,55058824,1674381,3961970,59695188,1807071,4590100,67476270,2040612,5151898,76752524,2315125,5631758,85782863,2583764,6131867,94123854,2830874,6688444,105026436,3163143,7043969,108701787,3265123,7878928,123383638,3695569
"연령별",30세 미만,646388,1012638,4778417,166706,649660,1000900,4569973,156449,676548,1067665,4830585,162177,711210,5011959,163942,724581,5010637,160333,743151,5036423,158485,805705,5358874,166208,940857,6170644,189720,1099754,7455811,227485,1263345,8560421,259987,1413565,9496225,287440,1584651,10552117,322490,1643123,11077284,336519,1867595,13081462,394142
"연령별",30세 이상,864390,1494574,11417827,355891,875153,1517498,11155821,347428,886485,1842760,11893675,370572,914216,12469206,387171,949141,13036542,402823,979024,13169117,405257,1008559,13588515,416060,1078872,14806425,451779,1136744,16215830,492841,1174527,17318649,524802,1231297,18277781,552561,1281949,19326694,586078,1338806,19062546,575669,1489132,21129329,634743
"연령별",40세 이상,761439,1317640,13995334,423967,800783,1398904,15150425,458205,830673,2072307,17388319,525930,882448,18961932,573152,943101,20151337,608597,1001662,20429901,616816,1091301,21326199,642880,1249849,23211948,699476,1363791,25615027,770916,1427018,27801398,836226,1481249,29400961,883478,1549218,31809595,955349,1604009,31924813,956388,1738300,34875748,1042174
"연령별",50세 이상,377404,628020,5600507,168520,421034,694859,6355485,191030,465926,1088121,8176122,245970,523268,9773101,294039,584294,11446964,344227,634419,12388715,372429,723491,14632593,439225,891050,17338839,520848,1032997,20136046,604361,1134458,23063342,691983,1261768,26072432,781654,1392048,30009215,899859,1472584,31534591,944402,1625605,35515073,1062575
"연령별",60세 이상,200398,299536,2204999,66239,205508,305245,2375771,70912,210745,502082,2991194,89461,230946,3335372,99968,276364,3769557,112877,287080,4034669,121394,332914,4789007,142698,429472,5948413,178788,518612,7329808,219522,607326,8928568,267440,715743,10755064,322087,845916,13196555,395400,964506,15010119,449229,1138163,18684892,559036
"연령별",기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25084,110483,3326,28245,121389,3654,34662,132261,3967,20941,92434,2916,20133,97135,2899
"업종구분별",소계,3262878,4755953,38011067,1181759,3403714,4935321,39660961,1225361,3738637,6603376,45336675,1395772,3277898,49710224,1523032,3491817,53461534,1630390,3667149,55307135,1681827,4005925,59871030,1812145,4635776,67628850,2045273,5185759,76848797,2317982,5631758,85782863,2583764,6131867,94123854,2830874,6688444,105026436,3163143,7043969,108701787,3265123,7878928,123383638,3695569
"업종구분별",저술가,76318,130755,437890,13130,84020,139832,455879,13666,102336,149742,507407,15215,64309,526580,15779,63478,518664,15549,65176,517534,15512,68840,553786,16601,69884,587854,17611,75851,630907,18900,75072,656784,19672,77083,683762,20470,82051,735122,21999,81905,773241,23139,84098,859740,25733
"업종구분별",화가관련,16348,21777,189233,5676,16911,23198,186681,5583,19709,25100,192828,5726,13100,205680,6224,13281,194806,5841,13735,199678,5989,14145,206621,6185,14996,231944,6957,16354,288458,8650,17291,318833,9560,16680,319885,9583,16904,315874,9467,19687,360282,10795,22023,490067,14683
"업종구분별",작곡가,9317,10819,73426,2194,11457,13957,82522,2463,14509,16532,92696,2765,8768,115357,3447,9794,122125,3650,10507,114636,3423,11444,124638,3719,12826,134082,4001,14020,143050,4267,15366,154158,4596,16918,182403,5443,18657,202949,6054,21290,251548,7507,23144,251138,7493
"업종구분별",배우,20580,40040,388701,11656,19130,37190,330733,9912,28743,40695,395881,11867,14161,486737,14593,14716,546398,16383,14695,546430,16380,15540,586789,17588,16091,600482,17998,16346,632108,18944,19618,589993,17686,19001,596840,17891,18456,647308,19396,17977,583417,17481,17011,686941,20595
"업종구분별",모델,9567,15135,44897,1346,9851,14977,48743,1462,13560,17739,51615,1548,6382,56602,1698,6918,65266,1958,8266,71665,2150,7733,71370,2141,8561,78067,2341,8454,83916,2515,8285,79846,2393,8495,88925,2665,9525,90855,2723,9206,88551,2653,9676,97063,2910
"업종구분별",가수,6535,11810,62730,1884,7415,13139,71321,2135,11490,14321,97447,2920,4029,154403,4630,4319,193327,5799,5073,235759,7063,4946,276277,8277,4619,295464,8853,4799,368238,11037,6322,338105,10130,6437,390367,11700,8440,340167,10189,8068,261747,7836,8958,520805,15608
"업종구분별",성악가,7053,9089,30679,920,8716,11670,35717,1071,11858,14300,40028,1201,7191,47948,1440,7864,46599,1398,8260,49845,1495,8465,50832,1591,8774,53493,1605,8550,59750,1791,8806,59062,1771,9303,65483,1971,9592,69449,2100,8291,53303,1597,9576,68009,2038
"업종구분별",1인미디어콘텐츠창작자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4874,20322,609,33065,308387,9248,36450,452306,13560
"업종구분별",연예보조,78427,136645,379510,11377,76519,128325,370035,11099,103793,151842,460316,13798,74294,538194,16139,74827,603350,18091,64470,606858,18192,60973,610170,18296,63355,655062,19975,67089,695289,20839,67562,661817,19840,66863,711629,21339,65630,752295,22547,56493,646677,19378,62695,839132,25150
"업종구분별",자문 · 고문,69440,112754,520391,15609,67064,80635,541337,16238,80052,95358,656228,19681,63327,718513,21559,66659,792717,23851,71656,863561,26096,77255,915346,27457,84118,985431,29574,87534,1080767,32422,90898,1108253,33250,97250,1192678,35792,99722,1254165,37626,97526,1289750,38683,103172,1456683,43615
"업종구분별",바둑기사,427,837,7433,223,446,750,7377,221,493,755,7480,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,558,8994,270,493,10245,307,477,11950,358
"업종구분별",꽃꽂이교사,1715,1906,4993,149,1570,1874,11631,349,1280,1503,4491,135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1321,6722,202,1197,4715,141,1021,5302,159
"업종구분별",학원강사,279017,420640,3147402,94361,308219,458726,3492706,104722,356076,524949,3851186,115453,325079,4072175,122111,339333,4203382,126050,351467,4366243,130962,362971,4633095,138946,367184,4805398,144119,384063,5102380,153004,400529,5310498,159260,409603,5487659,164576,431471,5828730,174797,386827,4880179,146341,383745,5549083,166401
"업종구분별",직업운동가,12440,18818,338862,10175,13510,19618,374903,11245,16717,24651,440213,13209,16914,506906,15209,19426,574875,17245,23810,661178,19836,28006,720697,21620,31373,778124,23340,39125,860796,25822,43386,988835,29662,47284,1051045,31531,51490,1153504,43941,43339,1007080,41137,47627,1196633,47258
"업종구분별",봉사료수취자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34353,602809,29651,24613,312146,15272,14895,150774,7358
