,연도,시도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
130,2017,인천광역시,2171785,2146147,2042082,1945739,1867276,1938030,2117650,2225964,2043139,1820833,1979776,2216892
131,2017,전라남도,2966421,2784465,2846966,2791508,2706545,2615730,2753902,2925331,2827403,2737099,2675816,2930891
132,2017,전라북도,2038012,2027150,1996166,1882119,1793382,1770289,1828011,1963678,1875214,1710326,1854753,2060546
133,2017,제주특별자치도,442925,462912,415698,418497,373246,373510,419192,490005,430854,366234,383331,437140
134,2017,충청남도,4362665,4225252,4277074,4069578,3974477,4000824,4240321,4316874,4109028,3903713,4263162,4437239
135,2017,충청북도,2209997,2166244,2138945,2027116,1923713,1937770,2078381,2096900,2025762,1862331,2086963,2289258
136,2018,강원도,1668339,1674745,1485135,1370294,1262858,1250381,1285711,1421772,1265459,1242919,1400538,1517476
137,2018,경기도,11415963,11183300,9993520,9563138,9270783,9487505,10296257,11686973,10161728,9131921,9791981,10712884
138,2018,경상남도,3393372,3258151,2967940,2840554,2664333,2694747,2872740,3145720,2806144,2628697,2814898,3071315
139,2018,경상북도,4179139,3978655,3850248,3740997,3735654,3584216,3766046,3996474,3746095,3612135,3752565,4016589
140,2018,광주광역시,807536,798506,698660,685493,648945,688052,753263,893915,765904,644127,672600,716811
141,2018,대구광역시,1465797,1433194,1253100,1230455,1176277,1232515,1342336,1565102,1309344,1136572,1210936,1320121
142,2018,대전광역시,905302,885432,784247,752264,719715,758538,824653,979932,816848,694831,727020,800046
143,2018,부산광역시,1966689,1898871,1714122,1675122,1594722,1647154,1813944,2095583,1841933,1605288,1639619,1723557
144,2018,서울특별시,4477102,4469940,3657824,3503967,3366946,3686242,4260544,5394746,4262672,3320082,3460909,3949238
145,2018,세종특별자치시,281364,269702,251895,241693,235345,242180,256799,285846,258021,236501,254634,273712
146,2018,울산광역시,2798813,2600426,2696446,2620459,2753446,2778506,2917598,3081875,2922434,2834630,2784126,2959410
147,2018,인천광역시,2348574,2195442,2050296,1959511,1865680,1981285,2110535,2408422,2019014,1879956,1956641,2146569
148,2018,전라남도,3016089,2885332,2621639,3292919,2838286,2646151,2799291,3082888,2901849,2639565,2602028,2792351
149,2018,전라북도,2152748,2037531,1926654,1876137,1831040,1810635,1777088,1995297,1884073,1800278,1892713,1977765
150,2018,제주특별자치도,490242,511137,431990,430151,395955,396634,431586,520069,457711,381138,392795,433195
151,2018,충청남도,4628992,4387240,4370209,4158538,4128141,4102184,4342391,4626019,4195755,4142499,4358066,4572670
152,2018,충청북도,2365631,2282183,2182346,2090819,2042345,2058719,2179169,2351465,2114050,2046337,2193060,2333640
153,2019,강원도,1660463,1512411,1401415,1376039,1267172,1211985,1230225,1359412,1261886,1233916,1345986,1507366
154,2019,경기도,11610400,10712180,10069948,9948716,9416781,9505754,9730623,11713268,10267027,9519509,9728880,10799220
155,2019,경상남도,3364894,3043750,2903814,2853723,2664244,2637434,2809322,2968281,2814273,2671846,2728516,3011920
156,2019,경상북도,4165072,3733473,3868963,3763435,3611013,3491484,3688216,3852790,3509529,3443730,3491135,3695927
157,2019,광주광역시,801473,741799,682608,706907,653102,673983,726581,821995,756642,663822,663133,711251
158,2019,대구광역시,1437112,1327236,1213326,1228571,1170519,1204862,1273370,1433600,1314078,1189613,1181452,1291844
159,2019,대전광역시,884590,814190,759955,753138,707813,732298,786884,898970,826527,728259,722433,800642
160,2019,부산광역시,1906812,1753708,1652037,1669235,1596068,1633070,1724989,1966047,1847006,1676463,1633512,1743462
161,2019,서울특별시,4416889,4127699,3582654,3591552,3419987,3676047,4146986,4897882,4305561,3568257,3481097,3952596
162,2019,세종특별자치시,292025,266668,259636,259582,250008,255501,274189,289289,276593,260172,263661,278856
163,2019,울산광역시,3013786,2621410,2809607,2677516,2794295,2815389,3024955,3054786,2951355,2780513,2716824,2878563
