,연도,월,시도,고용률,사용량,위도,경도
294,2010,7,대구광역시,57.7,1202680,35.825757,128.576897
295,2010,8,대구광역시,56.8,1284747,35.825757,128.576897
296,2010,9,대구광역시,56.8,1267503,35.825757,128.576897
297,2010,10,대구광역시,56.9,1080432,35.825757,128.576897
298,2010,11,대구광역시,57.4,1164842,35.825757,128.576897
299,2010,12,대구광역시,56.7,1287342,35.825757,128.576897
300,2011,1,대구광역시,56.0,1418812,35.825757,128.576897
301,2011,2,대구광역시,55.3,1336667,35.825757,128.576897
302,2011,3,대구광역시,56.1,1234507,35.825757,128.576897
303,2011,4,대구광역시,56.9,1216588,35.825757,128.576897
304,2011,5,대구광역시,56.6,1126409,35.825757,128.576897
305,2011,6,대구광역시,57.0,1163368,35.825757,128.576897
306,2011,7,대구광역시,57.2,1243303,35.825757,128.576897
307,2011,8,대구광역시,56.2,1286641,35.825757,128.576897
308,2011,9,대구광역시,56.6,1211616,35.825757,128.576897
309,2011,10,대구광역시,58.1,1125749,35.825757,128.576897
310,2011,11,대구광역시,58.1,1176821,35.825757,128.576897
311,2011,12,대구광역시,57.7,1281465,35.825757,128.576897
312,2012,1,대구광역시,57.9,1386340,35.825757,128.576897
313,2012,2,대구광역시,57.2,1375774,35.825757,128.576897
314,2012,3,대구광역시,57.4,1281521,35.825757,128.576897
315,2012,4,대구광역시,58.3,1229268,35.825757,128.576897
316,2012,5,대구광역시,59.1,1135952,35.825757,128.576897
317,2012,6,대구광역시,59.2,1160770,35.825757,128.576897
318,2012,7,대구광역시,59.4,1214720,35.825757,128.576897
319,2012,8,대구광역시,58.6,1345137,35.825757,128.576897
320,2012,9,대구광역시,58.4,1227950,35.825757,128.576897
321,2012,10,대구광역시,58.4,1084282,35.825757,128.576897
322,2012,11,대구광역시,58.3,1190760,35.825757,128.576897
323,2012,12,대구광역시,58.3,1322485,35.825757,128.576897
324,2013,1,대구광역시,58.1,1437877,35.825757,128.576897
325,2013,2,대구광역시,57.2,1336301,35.825757,128.576897
326,2013,3,대구광역시,57.7,1214829,35.825757,128.576897
327,2013,4,대구광역시,58.0,1220101,35.825757,128.576897
328,2013,5,대구광역시,58.0,1166224,35.825757,128.576897
329,2013,6,대구광역시,58.2,1175504,35.825757,128.576897
330,2013,7,대구광역시,58.1,1272957,35.825757,128.576897
331,2013,8,대구광역시,57.4,1381189,35.825757,128.576897
332,2013,9,대구광역시,57.4,1255073,35.825757,128.576897
333,2013,10,대구광역시,58.1,1126448,35.825757,128.576897
334,2013,11,대구광역시,58.5,1189890,35.825757,128.576897
335,2013,12,대구광역시,58.4,1303660,35.825757,128.576897
336,2014,1,대구광역시,58.0,1377672,35.825757,128.576897
337,2014,2,대구광역시,57.8,1314569,35.825757,128.576897
338,2014,3,대구광역시,58.1,1246283,35.825757,128.576897
339,2014,4,대구광역시,58.6,1222595,35.825757,128.576897
340,2014,5,대구광역시,58.7,1143206,35.825757,128.576897
341,2014,6,대구광역시,58.9,1182480,35.825757,128.576897
342,2014,7,대구광역시,59.0,1255757,35.825757,128.576897
343,2014,8,대구광역시,59.4,1273769,35.825757,128.576897
344,2014,9,대구광역시,59.1,1182542,35.825757,128.576897
345,2014,10,대구광역시,58.8,1147482,35.825757,128.576897
346,2014,11,대구광역시,59.0,1190355,35.825757,128.576897
347,2014,12,대구광역시,59.0,1322076,35.825757,128.576897
348,2015,1,대구광역시,58.6,1417385,35.825757,128.576897
349,2015,2,대구광역시,58.7,1344788,35.825757,128.576897
350,2015,3,대구광역시,58.9,1233059,35.825757,128.576897
351,2015,4,대구광역시,59.1,1244033,35.825757,128.576897
352,2015,5,대구광역시,60.1,1149079,35.825757,128.576897
353,2015,6,대구광역시,60.7,1203042,35.825757,128.576897
354,2015,7,대구광역시,60.1,1224159,35.825757,128.576897
355,2015,8,대구광역시,59.2,1334385,35.825757,128.576897
356,2015,9,대구광역시,59.5,1226328,35.825757,128.576897
357,2015,10,대구광역시,59.5,1119902,35.825757,128.576897
358,2015,11,대구광역시,59.5,1179855,35.825757,128.576897
359,2015,12,대구광역시,59.6,1271693,35.825757,128.576897
360,2016,1,대구광역시,58.6,1371791,35.825757,128.576897
361,2016,2,대구광역시,57.5,1364933,35.825757,128.576897
362,2016,3,대구광역시,58.3,1281266,35.825757,128.576897
363,2016,4,대구광역시,58.9,1216827,35.825757,128.576897
364,2016,5,대구광역시,60.0,1143952,35.825757,128.576897
365,2016,6,대구광역시,59.9,1210881,35.825757,128.576897
366,2016,7,대구광역시,60.2,1282697,35.825757,128.576897
367,2016,8,대구광역시,60.1,1423080,35.825757,128.576897
368,2016,9,대구광역시,59.9,1271426,35.825757,128.576897
369,2016,10,대구광역시,59.6,1155560,35.825757,128.576897
370,2016,11,대구광역시,59.7,1224999,35.825757,128.576897
371,2016,12,대구광역시,59.1,1320700,35.825757,128.576897
372,2017,1,대구광역시,58.5,1391376,35.825757,128.576897
373,2017,2,대구광역시,58.4,1375375,35.825757,128.576897
374,2017,3,대구광역시,59.1,1263786,35.825757,128.576897
375,2017,4,대구광역시,59.3,1234859,35.825757,128.576897
376,2017,5,대구광역시,59.3,1147637,35.825757,128.576897
377,2017,6,대구광역시,59.4,1218416,35.825757,128.576897
378,2017,7,대구광역시,59.6,1349359,35.825757,128.576897
379,2017,8,대구광역시,58.4,1413997,35.825757,128.576897
380,2017,9,대구광역시,58.7,1306140,35.825757,128.576897
381,2017,10,대구광역시,58.0,1107848,35.825757,128.576897
382,2017,11,대구광역시,58.6,1220287,35.825757,128.576897
383,2017,12,대구광역시,58.2,1357294,35.825757,128.576897
384,2018,1,대구광역시,56.6,1465797,35.825757,128.576897
385,2018,2,대구광역시,56.6,1433194,35.825757,128.576897
386,2018,3,대구광역시,56.9,1253100,35.825757,128.576897
387,2018,4,대구광역시,58.1,1230455,35.825757,128.576897
388,2018,5,대구광역시,58.7,1176277,35.825757,128.576897
389,2018,6,대구광역시,59.0,1232515,35.825757,128.576897
390,2018,7,대구광역시,59.3,1342336,35.825757,128.576897
391,2018,8,대구광역시,58.6,1565102,35.825757,128.576897
392,2018,9,대구광역시,58.6,1309344,35.825757,128.576897
393,2018,10,대구광역시,59.1,1136572,35.825757,128.576897
394,2018,11,대구광역시,58.8,1210936,35.825757,128.576897
395,2018,12,대구광역시,58.3,1320121,35.825757,128.576897
396,2019,1,대구광역시,57.1,1437112,35.825757,128.576897
397,2019,2,대구광역시,56.9,1327236,35.825757,128.576897
398,2019,3,대구광역시,57.6,1213326,35.825757,128.576897
399,2019,4,대구광역시,57.9,1228571,35.825757,128.576897
400,2019,5,대구광역시,58.4,1170519,35.825757,128.576897
401,2019,6,대구광역시,58.6,1204862,35.825757,128.576897
402,2019,7,대구광역시,58.3,1273370,35.825757,128.576897
403,2019,8,대구광역시,58.4,1433600,35.825757,128.576897
404,2019,9,대구광역시,58.3,1314078,35.825757,128.576897
405,2019,10,대구광역시,58.1,1189613,35.825757,128.576897
406,2019,11,대구광역시,58.3,1181452,35.825757,128.576897
407,2019,12,대구광역시,57.4,1291844,35.825757,128.576897
408,2020,1,대구광역시,56.7,1361827,35.825757,128.576897
409,2020,2,대구광역시,56.8,1314568,35.825757,128.576897
410,2020,3,대구광역시,53.6,1200565,35.825757,128.576897
411,2020,4,대구광역시,54.0,1137812,35.825757,128.576897
412,2020,5,대구광역시,55.9,1044272,35.825757,128.576897
413,2020,6,대구광역시,56.9,1149699,35.825757,128.576897
414,2020,7,대구광역시,57.1,1221759,35.825757,128.576897
415,2020,8,대구광역시,57.6,1318926,35.825757,128.576897
416,2020,9,대구광역시,57.7,1398370,35.825757,128.576897
417,2020,10,대구광역시,57.7,1102514,35.825757,128.576897
418,2020,11,대구광역시,58.3,1190723,35.825757,128.576897
419,2020,12,대구광역시,57.5,1317533,35.825757,128.576897
420,2021,1,대구광역시,55.5,1443838,35.825757,128.576897
421,2021,2,대구광역시,56.5,1342988,35.825757,128.576897
422,2021,3,대구광역시,58.0,1222748,35.825757,128.576897
423,2021,4,대구광역시,58.2,1210022,35.825757,128.576897
424,2021,5,대구광역시,59.1,1153415,35.825757,128.576897
425,2021,6,대구광역시,59.0,1232554,35.825757,128.576897
426,2021,7,대구광역시,59.0,1344663,35.825757,128.576897
427,2021,8,대구광역시,58.7,1461379,35.825757,128.576897
428,2021,9,대구광역시,59.0,1301387,35.825757,128.576897
429,2021,10,대구광역시,59.0,1175079,35.825757,128.576897
430,2021,11,대구광역시,59.0,1221063,35.825757,128.576897
