,연도,시도,월,사용량
325,2017,경상남도,2,3216892
326,2017,경상북도,2,3858427
327,2017,광주광역시,2,773394
328,2017,대구광역시,2,1375375
329,2017,대전광역시,2,848651
330,2017,부산광역시,2,1824630
331,2017,서울특별시,2,4166700
332,2017,세종특별자치시,2,254773
333,2017,울산광역시,2,2492173
334,2017,인천광역시,2,2146147
335,2017,전라남도,2,2784465
336,2017,전라북도,2,2027150
337,2017,제주특별자치도,2,462912
338,2017,충청남도,2,4225252
339,2017,충청북도,2,2166244
340,2018,강원도,2,1674745
341,2018,경기도,2,11183300
342,2018,경상남도,2,3258151
343,2018,경상북도,2,3978655
344,2018,광주광역시,2,798506
345,2018,대구광역시,2,1433194
346,2018,대전광역시,2,885432
347,2018,부산광역시,2,1898871
348,2018,서울특별시,2,4469940
349,2018,세종특별자치시,2,269702
350,2018,울산광역시,2,2600426
351,2018,인천광역시,2,2195442
352,2018,전라남도,2,2885332
353,2018,전라북도,2,2037531
354,2018,제주특별자치도,2,511137
355,2018,충청남도,2,4387240
356,2018,충청북도,2,2282183
357,2019,강원도,2,1512411
358,2019,경기도,2,10712180
359,2019,경상남도,2,3043750
360,2019,경상북도,2,3733473
361,2019,광주광역시,2,741799
362,2019,대구광역시,2,1327236
363,2019,대전광역시,2,814190
364,2019,부산광역시,2,1753708
365,2019,서울특별시,2,4127699
366,2019,세종특별자치시,2,266668
367,2019,울산광역시,2,2621410
368,2019,인천광역시,2,2028323
369,2019,전라남도,2,2731063
370,2019,전라북도,2,1898888
371,2019,제주특별자치도,2,505067
372,2019,충청남도,2,4297030
373,2019,충청북도,2,2238691
374,2020,강원도,2,1501655
375,2020,경기도,2,10853826
376,2020,경상남도,2,3125833
377,2020,경상북도,2,3562814
378,2020,광주광역시,2,740068
379,2020,대구광역시,2,1314568
380,2020,대전광역시,2,830839
381,2020,부산광역시,2,1782217
382,2020,서울특별시,2,4037392
383,2020,세종특별자치시,2,283275
384,2020,울산광역시,2,2707435
385,2020,인천광역시,2,2062334
386,2020,전라남도,2,2619058
387,2020,전라북도,2,1903234
388,2020,제주특별자치도,2,492245
389,2020,충청남도,2,4377240
390,2020,충청북도,2,2304328
391,2021,강원도,2,1539605
392,2021,경기도,2,11464174
393,2021,경상남도,2,3131331
394,2021,경상북도,2,3673374
395,2021,광주광역시,2,767227
396,2021,대구광역시,2,1342988
397,2021,대전광역시,2,847141
398,2021,부산광역시,2,1762335
399,2021,서울특별시,2,4134045
400,2021,세종특별자치시,2,304010
401,2021,울산광역시,2,2646795
402,2021,인천광역시,2,2089431
403,2021,전라남도,2,2738900
404,2021,전라북도,2,1830234
405,2021,제주특별자치도,2,503324
406,2021,충청남도,2,4039445
407,2021,충청북도,2,2373601
408,2010,강원도,3,1308429
409,2010,경기도,3,7574084
410,2010,경상남도,3,2648326
411,2010,경상북도,3,3484251
412,2010,광주광역시,3,632293
413,2010,대구광역시,3,1172936
414,2010,대전광역시,3,716986
415,2010,부산광역시,3,1635276
416,2010,서울특별시,3,3624186
417,2010,세종특별자치시,3,0
418,2010,울산광역시,3,2179708
419,2010,인천광역시,3,1797828
420,2010,전라남도,3,2027921
421,2010,전라북도,3,1572336
422,2010,제주특별자치도,3,284038
423,2010,충청남도,3,3236855
424,2010,충청북도,3,1658672
425,2011,강원도,3,1420666
426,2011,경기도,3,8206234
427,2011,경상남도,3,2874490
428,2011,경상북도,3,3779253
429,2011,광주광역시,3,672951
430,2011,대구광역시,3,1234507
431,2011,대전광역시,3,757165
432,2011,부산광역시,3,1704632
433,2011,서울특별시,3,3736362
434,2011,세종특별자치시,3,0
435,2011,울산광역시,3,2302130
436,2011,인천광역시,3,1925528
437,2011,전라남도,3,2249390
438,2011,전라북도,3,1823953
439,2011,제주특별자치도,3,301595
440,2011,충청남도,3,3649257
441,2011,충청북도,3,1795514
442,2012,강원도,3,1471927
443,2012,경기도,3,8665829
444,2012,경상남도,3,2976283
445,2012,경상북도,3,3959571
446,2012,광주광역시,3,696422
447,2012,대구광역시,3,1281521
448,2012,대전광역시,3,785989
449,2012,부산광역시,3,1794675
450,2012,서울특별시,3,3837539
451,2012,세종특별자치시,3,0
452,2012,울산광역시,3,2488226
453,2012,인천광역시,3,1938203
454,2012,전라남도,3,2322324
455,2012,전라북도,3,1932255
456,2012,제주특별자치도,3,332926
457,2012,충청남도,3,3944672
458,2012,충청북도,3,1879751
459,2013,강원도,3,1401610
460,2013,경기도,3,8564516
461,2013,경상남도,3,2852239
462,2013,경상북도,3,3862004
463,2013,광주광역시,3,658528
464,2013,대구광역시,3,1214829
465,2013,대전광역시,3,752100
466,2013,부산광역시,3,1660595
467,2013,서울특별시,3,3652776
