,연도,시도,시군구,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
239,2011년,서울특별시,동대문구,148813,141270,121112,120538,109277,115695,127215,140561,133767,109229,111776,123923
240,2011년,서울특별시,동작구,122126,115337,100063,100253,93516,100718,108465,119700,113461,94373,96801,105266
241,2011년,서울특별시,마포구,179671,166402,148866,145716,136262,146691,162865,178968,165929,139531,143175,158452
242,2011년,서울특별시,서대문구,120841,111119,99545,96495,90824,97353,106220,115561,107641,89666,93335,103836
243,2011년,서울특별시,서초구,328267,306887,269746,264867,233320,281860,299831,327437,305360,253062,255783,280417
244,2011년,서울특별시,성동구,178376,167348,151127,150522,140738,146767,157783,169189,162599,140515,142538,157142
245,2011년,서울특별시,성북구,149990,144396,122883,122645,111642,117682,124452,136913,132165,111210,115917,127808
246,2011년,서울특별시,송파구,247079,232378,202340,202728,193207,212205,228931,252782,236060,195089,193900,214678
247,2011년,서울특별시,양천구,145703,142906,124271,126014,116953,121360,132486,147926,142826,121600,120470,127445
248,2011년,서울특별시,영등포구,257820,234989,215299,207116,200060,216273,240142,260539,236295,196114,198374,220675
249,2011년,서울특별시,용산구,139225,131208,113294,110568,102648,111877,123837,137773,128569,103264,105037,116296
250,2011년,서울특별시,은평구,125779,122573,104004,104945,96417,100136,107094,119026,114934,97622,101033,108637
251,2011년,서울특별시,종로구,177054,161847,141988,136153,126101,139644,154433,167039,153403,123476,128126,147321
252,2011년,서울특별시,중구,256284,226821,212327,201746,197494,222975,248833,263581,240643,197066,198300,221432
253,2011년,서울특별시,중랑구,111121,108281,89718,91237,82816,86632,92884,103622,99044,82679,85271,93510
254,2011년,부산광역시,강서구,277559,244977,264568,258428,251218,257225,272325,258739,254257,247276,252741,266859
255,2011년,부산광역시,금정구,115662,110052,97217,92796,64802,84108,90181,96792,90922,81114,84444,94223
256,2011년,부산광역시,기장군,115338,98467,77806,102620,80354,76362,73866,73374,68717,73909,74018,80536
257,2011년,부산광역시,남구,129912,124464,118829,119012,112826,112466,117370,123199,115301,108402,108304,114231
258,2011년,부산광역시,동구,54987,52985,46308,45300,40621,41302,44758,50067,46263,40208,40987,46170
259,2011년,부산광역시,동래구,95925,93649,79631,79329,71619,72767,79203,87788,81170,70761,73312,81059
260,2011년,부산광역시,부산진구,168594,161798,140293,140540,127376,133523,144805,160347,149443,130407,131723,144091
261,2011년,부산광역시,북구,86812,84136,71599,72124,65587,67000,72718,79784,74176,65722,68648,74674
262,2011년,부산광역시,사상구,198051,182686,173066,174058,157343,161574,166301,166860,161389,153819,162703,175812
263,2011년,부산광역시,사하구,279233,255234,252691,245468,236152,247027,242097,260156,253210,267017,264905,277407
264,2011년,부산광역시,서구,56113,51534,46941,46140,42343,43682,46561,52306,50344,46990,47040,51761
265,2011년,부산광역시,수영구,57685,56260,47329,47164,42420,42958,46527,53330,49542,42757,43779,48326
266,2011년,부산광역시,연제구,78105,75236,65015,64328,60003,60624,66852,73636,67326,57475,59585,65848
267,2011년,부산광역시,영도구,52143,48600,44912,44180,39375,38340,39602,42907,40237,36762,39080,42713
268,2011년,부산광역시,중구,45065,42886,37020,36263,32586,33764,38412,44513,41299,34177,33210,36448
269,2011년,부산광역시,해운대구,164875,154769,141407,141550,135410,140542,154012,169944,154784,139440,140735,151630
270,2011년,대구광역시,남구,66060,64140,53815,52202,45388,45921,50138,55207,50975,44029,47488,54506
271,2011년,대구광역시,달서구,396292,371060,354434,351783,330148,342877,360941,368532,346798,330051,341509,360812
272,2011년,대구광역시,달성군,253590,230352,238522,232580,223767,227128,234909,225792,222373,228655,237640,254458
273,2011년,대구광역시,동구,124299,120197,101628,100812,90464,91665,98158,106683,100147,89508,96040,108320
274,2011년,대구광역시,북구,233669,222327,198310,196360,177920,184215,197696,207154,193601,176040,186168,205793
275,2011년,대구광역시,서구,110173,107009,96876,96248,88271,91131,98026,101826,97384,86558,90195,95867
276,2011년,대구광역시,수성구,161218,154618,132396,131079,118448,122789,135204,147118,134929,117347,123438,138641
277,2011년,대구광역시,중구,73511,66964,58526,55524,52003,57642,68231,74329,65409,53561,54343,63068
278,2011년,인천광역시,강화군,63809,62490,49386,46428,37609,32019,29935,32202,32876,32368,39925,49101
279,2011년,인천광역시,계양구,131605,123870,110213,106712,98593,100006,107270,115807,108930,96870,101181,114230
280,2011년,인천광역시,남구,213664,198052,186349,179484,158281,168426,178988,187740,183105,166995,168972,187553
