,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
37,2010,부산광역시,연제구,총계,74669,71700,63891,64972,59419,60868,65878,77220,75334,58892,60540,67762
38,2010,부산광역시,영도구,총계,51808,49036,44012,44857,39686,38976,42733,46652,45060,38662,41396,49795
39,2010,부산광역시,중구,총계,42289,40595,35474,36174,32986,34029,38697,46612,46005,35666,33775,37683
40,2010,부산광역시,해운대구,총계,151468,143993,133601,136192,130625,133994,148900,171407,172519,138395,135694,147140
41,2010,대구광역시,남구,총계,63902,62026,53569,53944,46575,46293,49747,58358,57101,44571,49088,57057
42,2010,대구광역시,달서구,총계,366882,350129,330376,340517,318418,329787,352434,370862,369138,315590,341511,367402
43,2010,대구광역시,달성군,총계,227733,212904,217308,220887,209130,208211,214630,208071,208183,209163,222299,239571
44,2010,대구광역시,동구,총계,117803,113479,97871,100889,88364,86559,94145,107076,106058,86398,94516,108482
45,2010,대구광역시,북구,총계,221025,213406,190357,197128,177331,181482,195442,210354,208610,170220,187608,210690
46,2010,대구광역시,서구,총계,111727,104857,98664,98829,89837,91357,99123,105994,105824,86919,90819,99040
47,2010,대구광역시,수성구,총계,151926,146243,126630,130150,116973,117650,130460,149555,144396,115831,125243,141643
48,2010,대구광역시,중구,총계,70475,66091,58161,57213,53532,57847,66699,74477,68193,51740,53758,63457
49,2010,인천광역시,강화군,총계,62869,59379,48463,47240,38682,30863,28475,31603,33212,32341,42085,50650
50,2010,인천광역시,계양구,총계,123112,116775,102499,104523,94979,98080,106264,117020,111838,93435,103058,114022
51,2010,인천광역시,남구,총계,204677,191589,178010,178299,164893,165969,178784,193777,184525,164094,174042,194604
52,2010,인천광역시,남동구,총계,353559,338239,310900,319470,289646,305879,326019,330713,325825,287528,321353,351404
53,2010,인천광역시,동구,총계,336351,267965,333961,348155,358397,342956,291402,311513,308849,353170,351414,371949
54,2010,인천광역시,부평구,총계,242804,222905,206927,208225,189883,201476,220164,233403,220842,190774,202064,225851
55,2010,인천광역시,서구,총계,383262,365095,349223,357934,330627,332063,346408,352508,348689,323994,351069,378548
56,2010,인천광역시,연수구,총계,140458,126270,115370,112364,100131,104618,116063,129748,121417,105071,112667,134394
57,2010,인천광역시,옹진군,총계,17324,17814,18428,16903,12031,15155,9023,10004,10189,9732,13015,14307
58,2010,인천광역시,중구,총계,152013,135743,134047,132602,127856,131847,143996,151080,142199,130470,131898,145242
59,2010,광주광역시,광산구,총계,260308,251357,240831,242236,237703,232246,257806,246790,251799,235532,245042,256701
60,2010,광주광역시,남구,총계,62777,60489,51900,53640,46264,47098,50917,57818,55831,45764,52320,58250
61,2010,광주광역시,동구,총계,60499,57652,50497,51058,45472,46441,52010,58281,54427,44858,46707,53682
62,2010,광주광역시,북구,총계,196079,186138,172294,176174,164088,167166,182574,198493,193949,166436,173079,189509
63,2010,광주광역시,서구,총계,133261,126862,116771,119735,110408,112597,123830,135684,136538,112643,115573,127174
64,2010,대전광역시,대덕구,총계,240448,222944,228593,228517,219869,227469,241103,235772,233087,224663,222836,237156
65,2010,대전광역시,동구,총계,95255,91030,77063,79667,67333,65723,69831,79144,78145,63497,72150,83702
66,2010,대전광역시,서구,총계,174567,169983,145442,151039,135030,136588,151837,173012,169485,132785,138128,155058
67,2010,대전광역시,유성구,총계,209394,192595,180076,178457,166546,176713,199447,215374,199750,172362,187634,207659
68,2010,대전광역시,중구,총계,106709,101906,85812,86396,75650,77725,85956,97482,90265,75055,84649,95841
69,2010,울산광역시,남구,총계,1122035,1020217,1099127,1090312,1114769,1114411,1121050,1194849,1154503,1087756,1093685,1154200
70,2010,울산광역시,동구,총계,142315,124030,135833,130384,121728,130515,140401,141486,140501,135112,135725,149310
71,2010,울산광역시,북구,총계,195286,176766,196854,190440,181782,190980,205827,195925,193871,188166,197938,201580
72,2010,울산광역시,울주군,총계,738258,661226,695431,704668,733361,681656,699426,695293,709727,709881,742568,774483
73,2010,울산광역시,중구,총계,61714,60342,52463,54361,48712,48330,52018,62469,62043,47896,49738,59964
74,2010,경기도,가평군,총계,73043,69609,56471,54302,44648,38136,36780,40932,39218,40058,50916,61301
75,2010,경기도,고양시,총계,434436,418156,346653,356701,313793,315139,340458,376816,365968,309187,343378,391894
76,2010,경기도,과천시,총계,40459,37710,34089,34580,32729,34811,38587,41704,37424,32271,33866,36998
77,2010,경기도,광명시,총계,108607,102564,91858,91515,82957,90051,96344,115415,99035,70730,92511,102324
78,2010,경기도,광주시,총계,229454,221621,182461,190282,158194,149051,161991,160766,161830,147606,193512,196647
79,2010,경기도,구리시,총계,75092,71712,61445,65707,57637,60317,66861,72339,68494,56775,60982,68812
80,2010,경기도,군포시,총계,142559,133805,122796,124435,110854,115936,126621,132040,129543,113059,120053,132638
81,2010,경기도,김포시,총계,244970,238458,200783,211458,183434,175952,187445,180498,184904,166393,202808,235484
82,2010,경기도,남양주시,총계,253832,248768,204467,211575,183274,176489,182843,196293,192951,175012,201801,233984
83,2010,경기도,동두천시,총계,62721,56223,55828,52871,46141,47091,51611,54792,53934,45247,52516,57493
84,2010,경기도,부천시,총계,403030,385158,341338,348581,318626,337236,368816,396367,378317,312778,351647,376099
85,2010,경기도,성남시,총계,427149,397480,362773,368837,348773,371072,407295,455296,405375,345624,362902,405139
86,2010,경기도,수원시,총계,446697,421431,372294,383018,353125,384288,413550,458625,414016,353158,373552,417107
87,2010,경기도,시흥시,총계,387719,370791,343198,348558,313216,326126,335515,343788,339570,309786,345619,380695
88,2010,경기도,안산시,총계,670852,621188,622230,622736,622680,612761,658672,661284,638921,603944,607165,676631
89,2010,경기도,안성시,총계,232535,225501,200740,203349,180644,177736,184399,191554,186998,175042,202748,225671
90,2010,경기도,안양시,총계,249952,237077,212242,215291,199078,206774,227889,254210,231691,191254,205410,230574
91,2010,경기도,양주시,총계,206322,200531,170577,179763,155578,148420,144319,145339,149633,141302,173486,191500
92,2010,경기도,양평군,총계,115977,113066,86671,84178,64336,51726,46284,50769,50797,53165,76721,92939
93,2010,경기도,여주군,총계,136579,124420,106213,106145,90841,82262,81507,84903,84130,84548,164702,62403
94,2010,경기도,연천군,총계,61178,57507,47889,47883,40536,34277,32298,34583,34798,34732,45837,51603
95,2010,경기도,오산시,총계,107689,100270,94706,95823,88868,90189,95809,99913,97682,87055,91919,100267
96,2010,경기도,용인시,총계,727884,722955,666194,672728,654897,647086,692432,721126,683158,633509,666043,722211
97,2010,경기도,의왕시,총계,62111,59305,51261,53387,52575,48208,52550,56106,53676,46318,51235,57719
98,2010,경기도,의정부시,총계,159178,150572,127795,128431,116878,122203,131777,143116,136084,114165,125551,142753
99,2010,경기도,이천시,총계,347928,329214,318275,310066,296629,288415,306467,322768,305918,297586,322619,348926
100,2010,경기도,파주시,총계,461585,446520,424009,449602,443720,447865,478346,499502,489645,473670,509356,556441
101,2010,경기도,평택시,총계,559382,523815,512659,509557,478151,477067,506801,516165,502008,497101,515778,567305
102,2010,경기도,포천시,총계,249510,250690,201912,215136,181640,166697,159996,163779,169235,156975,200977,228633
103,2010,경기도,하남시,총계,105901,98734,87502,88656,81612,81840,86359,89939,86532,80018,87169,97059
104,2010,경기도,화성시,총계,941151,907051,866755,901850,860703,846808,888670,900857,888211,720258,1033234,1003445
105,2010,강원도,강릉시,총계,166006,164187,167277,173005,159195,148451,139539,150354,145647,143653,163886,163489
106,2010,강원도,고성군,총계,29446,27974,24848,25688,21784,19684,18481,20547,19423,18798,22240,24593
107,2010,강원도,동해시,총계,197039,164953,194138,201202,206283,210742,190960,177899,178645,218677,224295,233759
108,2010,강원도,삼척시,총계,94963,90278,101186,104302,103419,99185,88397,93063,90223,87894,94465,103532
109,2010,강원도,속초시,총계,44653,42740,38087,38994,33185,31137,30843,36524,33619,31337,35682,39408
110,2010,강원도,양구군,총계,24337,23395,18705,18526,14585,12101,10849,11449,11705,12790,18375,20267
111,2010,강원도,양양군,총계,29807,28301,24312,24504,21100,19360,18128,21434,19753,19113,22977,24950
112,2010,강원도,영월군,총계,72291,75588,93752,95644,94136,90569,82411,76431,67116,89528,92682,94729
113,2010,강원도,원주시,총계,231093,214836,189875,186952,161018,150403,155730,161333,158603,152314,182023,212462
114,2010,강원도,인제군,총계,35364,33189,27197,27375,21790,18373,16694,18339,19136,19593,26583,30890
115,2010,강원도,정선군,총계,59001,54914,49205,46368,40774,39170,38437,35780,36846,41924,52534,60148
116,2010,강원도,철원군,총계,57331,51432,42842,43088,34438,27680,24904,26482,27775,29821,41480,46479
117,2010,강원도,춘천시,총계,155985,149633,124152,125923,104932,97493,100260,108121,106697,97283,118766,140089
118,2010,강원도,태백시,총계,38895,34992,30512,30466,26313,25258,23365,23647,23311,25222,29307,34997
119,2010,강원도,평창군,총계,73127,65147,51631,48251,39136,33709,31053,34412,31231,36549,50710,64985
120,2010,강원도,홍천군,총계,81243,75700,61323,60420,49796,44837,42961,46700,43398,44131,57149,69273
121,2010,강원도,화천군,총계,26990,25655,20393,20017,16203,13643,12609,13866,14234,14826,19532,23413
122,2010,강원도,횡성군,총계,62609,59106,48994,46774,37443,32655,30317,32057,31503,33242,44889,54941
123,2010,충청북도,괴산군,총계,46824,43903,39870,40017,33887,30970,30117,32135,31538,30648,37213,42717
124,2010,충청북도,단양군,총계,91460,106349,149468,168444,164092,141989,127570,121607,106397,143599,156367,144371
125,2010,충청북도,보은군,총계,29979,28614,24311,24343,19562,17533,17163,18109,18161,17714,23471,26750
126,2010,충청북도,영동군,총계,40907,39427,35459,35903,30628,26820,26925,26660,27762,27432,32365,37390
127,2010,충청북도,옥천군,총계,60378,56955,52749,53406,46721,43759,44282,44961,45217,42751,49191,56366
128,2010,충청북도,음성군,총계,195381,180477,174767,176106,160532,159697,166191,166837,163132,157674,178509,194230
129,2010,충청북도,제천시,총계,115871,116578,109229,110874,100219,90454,89594,90913,83769,87301,107036,120721
130,2010,충청북도,증평군,총계,33906,33164,31069,31515,30295,29272,30971,32723,31171,29723,31860,35228
131,2010,충청북도,진천군,총계,136753,128888,126410,126883,117589,118232,124836,123539,119602,116270,124883,136451
132,2010,충청북도,청원군,총계,353014,322350,334176,330134,314269,320690,320938,333045,324946,322486,333759,359015
133,2010,충청북도,청주시,총계,472244,448271,429280,432272,409177,411670,445608,469214,441742,401400,419106,460345
134,2010,충청북도,충주시,총계,179188,170125,151884,152495,132150,125053,127309,131512,131529,126475,148012,170948
135,2010,충청남도,계룡시,총계,20362,18727,17166,16641,15239,16301,18355,20282,18079,15752,17767,19832
136,2010,충청남도,공주시,총계,100368,97549,85351,84812,69894,65815,65884,71052,70152,65543,81335,90692
137,2010,충청남도,금산군,총계,80242,75208,73149,72551,65368,64089,62053,69254,66428,65501,77192,83295
138,2010,충청남도,논산시,총계,107303,104995,95270,92099,80761,78668,77871,83033,80897,73762,91720,101426
139,2010,충청남도,당진시,총계,671979,626890,699965,689574,691738,664491,689678,652323,655674,746250,752730,831335
140,2010,충청남도,보령시,총계,94380,90332,80361,82781,75401,71643,68069,73382,72784,73513,82793,80184
141,2010,충청남도,부여군,총계,56583,55277,47807,46023,38650,35937,34973,38889,39558,37062,47192,49487
142,2010,충청남도,서산시,총계,414151,393794,408941,384333,371227,398931,411785,411101,399853,399593,406053,430502
143,2010,충청남도,서천군,총계,112686,103792,102313,103778,89122,86189,86934,89489,91518,91608,99057,113012
144,2010,충청남도,아산시,총계,749929,683605,725686,718783,724118,723894,777641,787269,756886,762697,784266,833272
145,2010,충청남도,연기군,총계,126170,119017,116508,118242,111411,111407,115352,116758,116426,110730,121283,130766
146,2010,충청남도,예산군,총계,78851,75435,67893,68206,60274,55294,54562,57151,56126,55038,67641,72891
147,2010,충청남도,천안시,총계,643884,601899,593181,595208,566401,568904,613169,631781,609982,573151,599027,645501
148,2010,충청남도,청양군,총계,27862,25831,23296,23115,19840,17741,17791,19221,19795,18013,23541,23813
149,2010,충청남도,태안군,총계,54754,49814,42189,44071,38767,33438,31147,36386,35701,33561,49848,52297
150,2010,충청남도,홍성군,총계,68662,66228,57779,58603,50072,45845,45330,49326,49608,46142,61131,64656
151,2010,전라북도,고창군,총계,39827,39196,34930,37024,31633,33103,29446,31213,33285,28133,39571,43922
152,2010,전라북도,군산시,총계,531339,486802,529845,538620,547460,543975,516978,528342,543905,559764,562158,614973
153,2010,전라북도,김제시,총계,76078,73664,66054,68202,58485,55823,56966,60767,61288,55547,69797,75736
154,2010,전라북도,남원시,총계,50943,49290,43741,44847,39040,37289,37272,40653,40159,37229,47177,48361
155,2010,전라북도,무주군,총계,24031,22458,17693,16212,13521,12040,11258,12035,11585,12196,16113,20635
156,2010,전라북도,부안군,총계,39611,38539,34680,34462,27994,25736,25628,29844,30031,25882,34060,36587
157,2010,전라북도,순창군,총계,18144,17149,15490,15583,13335,12403,12777,13635,13976,13177,16046,18101
158,2010,전라북도,완주군,총계,125021,115448,116298,115117,107244,105426,109884,109957,103912,104880,113751,124470
159,2010,전라북도,익산시,총계,254068,241692,226774,235288,221008,215900,223010,231419,231625,210191,231782,252949
160,2010,전라북도,임실군,총계,21321,20934,18197,18104,15196,13488,13007,14192,15715,14169,18071,19762
161,2010,전라북도,장수군,총계,18360,17157,15226,15163,12450,10509,9865,10752,10854,11189,14039,16569
162,2010,전라북도,전주시,총계,385052,352524,342748,356951,331492,325296,345370,365146,353293,323503,334887,367462
163,2010,전라북도,정읍시,총계,105816,100195,95889,98735,91665,85949,90769,91198,91952,86110,97134,102299
164,2010,전라북도,진안군,총계,17755,17055,14771,14736,12633,11098,10884,12013,11871,11352,14064,15505
165,2010,전라남도,강진군,총계,21937,21809,19093,19752,16875,16457,16004,18439,18860,16777,21838,20759
166,2010,전라남도,고흥군,총계,36088,33991,31967,33620,25665,23899,23310,27211,27606,23693,29509,35880
167,2010,전라남도,곡성군,총계,35692,30872,31192,32297,30828,30625,31745,30192,29762,30444,32732,35709
168,2010,전라남도,광양시,총계,293115,274972,294333,285508,355346,326504,300857,322879,316427,395582,380879,452191
169,2010,전라남도,구례군,총계,14639,14152,12103,12578,10655,9578,9640,11114,10773,9866,11680,13541
170,2010,전라남도,나주시,총계,73665,69640,65333,66414,62510,63218,65146,69499,69351,61601,63879,73204
171,2010,전라남도,담양군,총계,42968,42051,37528,37339,32705,31099,30389,33096,32019,31915,36146,40738
172,2010,전라남도,목포시,총계,94753,93494,80511,84647,73646,71467,76547,89520,89592,72612,75123,83808
173,2010,전라남도,무안군,총계,41006,40689,36919,37810,32593,31978,34863,39909,39108,34115,43688,40675
174,2010,전라남도,보성군,총계,23952,23767,19871,21882,18199,17093,16297,18760,19144,16895,20176,22583
175,2010,전라남도,순천시,총계,144899,132158,127834,131321,120318,116551,124773,130738,128067,119060,125991,138739
176,2010,전라남도,신안군,총계,20465,20676,19303,20099,16649,13742,14229,16470,17292,15872,19277,20521
177,2010,전라남도,여수시,총계,950077,777953,831995,826400,822397,811498,884428,917160,905368,904522,873622,927594
178,2010,전라남도,영광군,총계,49028,49991,54042,66647,40422,37811,37965,41338,45366,38323,48221,48462
179,2010,전라남도,영암군,총계,125272,113225,116629,109133,101828,102056,113208,105504,106130,102180,112054,122854
180,2010,전라남도,완도군,총계,55579,55086,49724,56422,54417,53873,54586,61809,64607,59794,65036,59425
181,2010,전라남도,장성군,총계,48991,46232,49031,50188,45683,43150,43944,44663,45041,44685,48349,50480
182,2010,전라남도,장흥군,총계,22573,22772,20994,22755,18184,16039,16032,18958,19399,17223,22029,23005
183,2010,전라남도,진도군,총계,19986,20804,18856,19987,16228,16168,15329,17315,17893,16334,20994,20699
184,2010,전라남도,함평군,총계,26581,26638,23710,24330,20953,19521,20781,24342,23166,20540,26132,25615
185,2010,전라남도,해남군,총계,50415,53088,49872,51844,40356,34316,34880,39379,37761,33978,49017,58359
186,2010,전라남도,화순군,총계,42006,41133,37081,38740,34751,33766,33992,36296,36073,32903,37543,41796
187,2010,경상북도,경산시,총계,221050,206778,198155,206794,188020,188045,193947,198540,199714,183793,205273,224926
188,2010,경상북도,경주시,총계,305787,287932,276509,278985,259552,259490,265205,271688,264110,261554,279777,305189
189,2010,경상북도,고령군,총계,81198,77099,80290,81054,76027,76811,76363,72629,75153,76936,85049,92916
190,2010,경상북도,구미시,총계,852878,786399,839377,827080,846410,857794,930396,962256,891850,841950,826363,856788
191,2010,경상북도,군위군,총계,26557,25287,22501,22840,20019,18445,19448,19928,20314,19197,22400,24307
192,2010,경상북도,김천시,총계,159026,148230,146103,144213,141001,135012,143948,150964,142872,136673,145341,154861
193,2010,경상북도,문경시,총계,54280,50056,46372,46291,39739,36262,36789,38507,38690,37938,44711,51338
194,2010,경상북도,봉화군,총계,129106,124246,135086,122738,128539,121114,126026,126940,132496,125870,138385,141468
195,2010,경상북도,상주시,총계,65896,61627,54372,54102,46999,45522,47236,53088,61118,60697,63372,90611
196,2010,경상북도,성주군,총계,62989,60024,55415,57471,51608,50386,50591,51038,51515,49303,57514,62452
197,2010,경상북도,안동시,총계,94726,91037,79612,80069,68414,64215,62812,71912,70298,63542,78219,87196
198,2010,경상북도,영덕군,총계,27938,26394,22568,23268,19949,19037,17954,20681,19824,18683,21941,24195
199,2010,경상북도,영양군,총계,11884,12010,9888,9620,7628,6552,5686,6358,7733,7726,8739,10186
200,2010,경상북도,영주시,총계,93012,87672,87009,85997,79687,76357,77326,82081,82105,80068,86418,98896
201,2010,경상북도,영천시,총계,113516,108279,101636,105830,94196,93349,94477,94954,97953,91489,106079,115541
202,2010,경상북도,예천군,총계,31206,30650,25114,24646,20455,19252,18289,20279,19416,17946,25970,26040
203,2010,경상북도,울릉군,총계,3938,3879,3399,3866,3652,3564,3574,4120,3990,3591,4037,3803
204,2010,경상북도,울진군,총계,34331,35909,38533,36101,28644,29010,23398,27434,35026,28855,28500,30647
205,2010,경상북도,의성군,총계,36857,36527,31136,31864,28504,29200,28363,29647,28175,24871,31348,33969
206,2010,경상북도,청도군,총계,39306,37223,32742,33278,29516,28175,28880,31759,32480,30089,34995,39176
207,2010,경상북도,청송군,총계,17708,17051,14191,14739,12404,11168,9942,10912,11378,11206,13903,16239
208,2010,경상북도,칠곡군,총계,165222,158270,150975,153698,141410,143370,149955,152938,154166,142865,158019,173533
209,2010,경상북도,포항시,총계,1115493,999309,1033268,1010116,989595,989471,933840,930321,954481,1055426,1031942,1109655
210,2010,경상남도,거제시,총계,177110,165756,166328,160477,147628,150420,164877,174693,167664,145755,155197,176114
211,2010,경상남도,거창군,총계,37333,36647,31910,32565,28251,26809,27049,29010,29078,26863,31122,35280
212,2010,경상남도,고성군,총계,49469,46390,42964,42286,36454,33397,35091,38647,39287,38544,41220,49001
213,2010,경상남도,김해시,총계,429318,416461,383652,400921,362617,365043,376211,386603,402353,353478,401445,439230
214,2010,경상남도,남해군,총계,24126,23247,20077,20577,17479,17052,17303,20269,19831,16954,20301,21501
215,2010,경상남도,밀양시,총계,92622,90709,79479,76927,64527,58173,58879,62630,61775,55927,63852,81534
216,2010,경상남도,사천시,총계,103106,98229,92965,94187,86994,86760,92066,97173,93963,89387,94670,102823
217,2010,경상남도,산청군,총계,25445,24619,20169,19798,17120,15570,15474,17282,17702,15210,19470,21984
218,2010,경상남도,양산시,총계,279099,255883,255926,260533,242248,249248,259682,250580,268084,248888,260690,279950
219,2010,경상남도,의령군,총계,31582,30555,28817,27866,25949,25118,26662,28437,27765,26935,29664,32949
220,2010,경상남도,진주시,총계,227762,215264,199301,200060,177907,171166,177428,189369,185116,168222,187459,217920
221,2010,경상남도,창녕군,총계,53609,52189,46699,46709,40254,37208,41229,44796,43070,38821,45234,54528
222,2010,경상남도,창원시,총계,1011096,910181,919834,921058,873353,877740,928631,935180,898440,870191,915565,1000423
223,2010,경상남도,통영시,총계,114215,105436,103083,97522,90420,89257,97549,105955,100738,92691,95411,109826
224,2010,경상남도,하동군,총계,29787,29381,25848,24612,23592,19818,19378,20488,20641,18308,23940,26120
225,2010,경상남도,함안군,총계,180392,164315,183673,188459,175218,166144,170818,155471,172802,180542,187195,207086
226,2010,경상남도,함양군,총계,23863,23407,20661,23437,20293,19021,19695,20775,22252,20105,25008,27885
227,2010,경상남도,합천군,총계,32841,31013,26940,27259,23264,21415,22127,23028,23521,21277,25874,30068
228,2010,제주특별자치도,서귀포시,총계,115741,115388,102954,111347,103231,100893,103640,116133,111766,99550,104144,109968
229,2010,제주특별자치도,제주시,총계,210059,202024,181084,189173,171886,170159,183219,215242,205943,170873,182815,197390
230,2011,서울특별시,강남구,총계,473539,430375,384033,369684,346834,386328,431699,472839,430718,348362,352039,398057
231,2011,서울특별시,강동구,총계,151602,144411,123220,122540,113570,120733,131598,145286,136480,113883,116588,128311
232,2011,서울특별시,강북구,총계,94936,92801,76893,77317,70137,72830,77862,86327,83461,70215,72927,79638
233,2011,서울특별시,강서구,총계,192124,183634,158431,158761,146841,153495,165918,183016,173896,149463,153336,170538
234,2011,서울특별시,관악구,총계,168050,163292,137210,138748,125963,131898,142974,160489,153214,126691,130538,141647
235,2011,서울특별시,광진구,총계,166217,156512,133464,135556,127380,139446,150425,167559,157312,127374,129330,140561
236,2011,서울특별시,구로구,총계,211708,190208,170592,164279,154226,162448,177055,189555,174327,154569,159773,177129
237,2011,서울특별시,금천구,총계,156753,138013,126539,119319,111982,120847,134407,143758,132705,113490,117663,135621
238,2011,서울특별시,노원구,총계,153780,149287,122963,126565,116326,122757,131687,144403,138846,118324,120316,130798
239,2011,서울특별시,도봉구,총계,105774,102154,86434,88340,81169,85066,90499,99244,95362,81599,85114,90710
240,2011,서울특별시,동대문구,총계,148813,141270,121112,120538,109277,115695,127215,140561,133767,109229,111776,123923
241,2011,서울특별시,동작구,총계,122126,115337,100063,100253,93516,100718,108465,119700,113461,94373,96801,105266
242,2011,서울특별시,마포구,총계,179671,166402,148866,145716,136262,146691,162865,178968,165929,139531,143175,158452
243,2011,서울특별시,서대문구,총계,120841,111119,99545,96495,90824,97353,106220,115561,107641,89666,93335,103836
244,2011,서울특별시,서초구,총계,328267,306887,269746,264867,233320,281860,299831,327437,305360,253062,255783,280417
245,2011,서울특별시,성동구,총계,178376,167348,151127,150522,140738,146767,157783,169189,162599,140515,142538,157142
246,2011,서울특별시,성북구,총계,149990,144396,122883,122645,111642,117682,124452,136913,132165,111210,115917,127808
247,2011,서울특별시,송파구,총계,247079,232378,202340,202728,193207,212205,228931,252782,236060,195089,193900,214678
248,2011,서울특별시,양천구,총계,145703,142906,124271,126014,116953,121360,132486,147926,142826,121600,120470,127445
249,2011,서울특별시,영등포구,총계,257820,234989,215299,207116,200060,216273,240142,260539,236295,196114,198374,220675
250,2011,서울특별시,용산구,총계,139225,131208,113294,110568,102648,111877,123837,137773,128569,103264,105037,116296
251,2011,서울특별시,은평구,총계,125779,122573,104004,104945,96417,100136,107094,119026,114934,97622,101033,108637
252,2011,서울특별시,종로구,총계,177054,161847,141988,136153,126101,139644,154433,167039,153403,123476,128126,147321
253,2011,서울특별시,중구,총계,256284,226821,212327,201746,197494,222975,248833,263581,240643,197066,198300,221432
254,2011,서울특별시,중랑구,총계,111121,108281,89718,91237,82816,86632,92884,103622,99044,82679,85271,93510
255,2011,부산광역시,강서구,총계,277559,244977,264568,258428,251218,257225,272325,258739,254257,247276,252741,266859
256,2011,부산광역시,금정구,총계,115662,110052,97217,92796,64802,84108,90181,96792,90922,81114,84444,94223
257,2011,부산광역시,기장군,총계,115338,98467,77806,102620,80354,76362,73866,73374,68717,73909,74018,80536
258,2011,부산광역시,남구,총계,129912,124464,118829,119012,112826,112466,117370,123199,115301,108402,108304,114231
259,2011,부산광역시,동구,총계,54987,52985,46308,45300,40621,41302,44758,50067,46263,40208,40987,46170
