,연월,연도,월,시도,고용률
232,2016_05,2016,5,부산광역시,56.2
233,2016_06,2016,6,부산광역시,56.3
234,2016_07,2016,7,부산광역시,56.4
235,2016_08,2016,8,부산광역시,56.2
236,2016_09,2016,9,부산광역시,56.0
237,2016_10,2016,10,부산광역시,56.1
238,2016_11,2016,11,부산광역시,56.6
239,2016_12,2016,12,부산광역시,56.1
240,2017_01,2017,1,부산광역시,55.5
241,2017_02,2017,2,부산광역시,55.9
242,2017_03,2017,3,부산광역시,56.2
243,2017_04,2017,4,부산광역시,56.4
244,2017_05,2017,5,부산광역시,57.0
245,2017_06,2017,6,부산광역시,57.0
246,2017_07,2017,7,부산광역시,56.7
247,2017_08,2017,8,부산광역시,56.4
248,2017_09,2017,9,부산광역시,56.2
249,2017_10,2017,10,부산광역시,56.3
250,2017_11,2017,11,부산광역시,56.1
251,2017_12,2017,12,부산광역시,56.1
252,2018_01,2018,1,부산광역시,55.3
253,2018_02,2018,2,부산광역시,54.9
254,2018_03,2018,3,부산광역시,55.6
255,2018_04,2018,4,부산광역시,55.5
256,2018_05,2018,5,부산광역시,55.7
257,2018_06,2018,6,부산광역시,56.3
258,2018_07,2018,7,부산광역시,55.6
259,2018_08,2018,8,부산광역시,55.1
260,2018_09,2018,9,부산광역시,55.4
261,2018_10,2018,10,부산광역시,56.5
262,2018_11,2018,11,부산광역시,56.7
263,2018_12,2018,12,부산광역시,55.8
264,2019_01,2019,1,부산광역시,54.9
265,2019_02,2019,2,부산광역시,55.3
266,2019_03,2019,3,부산광역시,56.0
267,2019_04,2019,4,부산광역시,56.1
268,2019_05,2019,5,부산광역시,56.6
269,2019_06,2019,6,부산광역시,56.7
270,2019_07,2019,7,부산광역시,57.3
271,2019_08,2019,8,부산광역시,57.0
272,2019_09,2019,9,부산광역시,57.2
273,2019_10,2019,10,부산광역시,57.6
274,2019_11,2019,11,부산광역시,57.5
275,2019_12,2019,12,부산광역시,57.0
276,2020_01,2020,1,부산광역시,56.2
277,2020_02,2020,2,부산광역시,55.9
278,2020_03,2020,3,부산광역시,55.7
279,2020_04,2020,4,부산광역시,54.3
280,2020_05,2020,5,부산광역시,54.6
281,2020_06,2020,6,부산광역시,55.4
282,2020_07,2020,7,부산광역시,55.6
283,2020_08,2020,8,부산광역시,55.8
284,2020_09,2020,9,부산광역시,55.8
285,2020_10,2020,10,부산광역시,56.1
286,2020_11,2020,11,부산광역시,56.4
287,2020_12,2020,12,부산광역시,55.5
288,2021_01,2021,1,부산광역시,54.1
289,2021_02,2021,2,부산광역시,54.8
290,2021_03,2021,3,부산광역시,55.7
291,2021_04,2021,4,부산광역시,56.2
292,2021_05,2021,5,부산광역시,56.7
293,2021_06,2021,6,부산광역시,56.9
294,2021_07,2021,7,부산광역시,57.1
295,2021_08,2021,8,부산광역시,57.3
296,2021_09,2021,9,부산광역시,56.6
297,2021_10,2021,10,부산광역시,56.5
298,2021_11,2021,11,부산광역시,56.6
299,2021_12,2021,12,부산광역시,55.8
300,2022_01,2022,1,부산광역시,55.1
301,2022_02,2022,2,부산광역시,56.3
302,2022_03,2022,3,부산광역시,56.2
303,2022_04,2022,4,부산광역시,56.5
304,2022_05,2022,5,부산광역시,57.5
305,2022_06,2022,6,부산광역시,57.4
306,2022_07,2022,7,부산광역시,57.5
307,2022_08,2022,8,부산광역시,58.0
308,2022_09,2022,9,부산광역시,57.8
309,2022_10,2022,10,부산광역시,57.7
310,2022_11,2022,11,부산광역시,57.8
311,2022_12,2022,12,부산광역시,57.6
312,2010_01,2010,1,대구광역시,55.6
313,2010_02,2010,2,대구광역시,55.5
314,2010_03,2010,3,대구광역시,56.9
315,2010_04,2010,4,대구광역시,57.6
316,2010_05,2010,5,대구광역시,57.9
317,2010_06,2010,6,대구광역시,58.1
318,2010_07,2010,7,대구광역시,57.7
319,2010_08,2010,8,대구광역시,56.8
320,2010_09,2010,9,대구광역시,56.8
321,2010_10,2010,10,대구광역시,56.9
322,2010_11,2010,11,대구광역시,57.4
323,2010_12,2010,12,대구광역시,56.7
