,연도,시도,사용량,지역내총생산,위도,경도
148,2018,전라남도,34118388,72888289,34.867289,126.993547
149,2018,전라북도,22961959,48350793,35.717518,127.156528
150,2018,제주특별자치도,5272603,18968300,33.424967,126.778084
151,2018,충청남도,52012704,110873163,36.717428,126.801751
152,2018,충청북도,26239764,65830010,36.999466,127.700783
153,2019,강원도,16368276,46064137,37.820812,128.156579
154,2019,경기도,123022306,462288338,37.412505,127.520017
155,2019,경상남도,34472017,109370902,35.460156,128.215601
156,2019,경상북도,44314767,104417627,36.327952,128.951526
157,2019,광주광역시,8603296,39624032,35.15484,126.836647
158,2019,대구광역시,15265583,54762237,35.825757,128.576897
159,2019,대전광역시,9415699,40684092,36.339403,127.396923
160,2019,부산광역시,20802409,89105372,35.209853,129.069121
161,2019,서울특별시,47167207,414092568,37.551638,126.993243
162,2019,세종특별자치시,3226180,11091040,36.560326,127.258638
163,2019,울산광역시,34138999,72024599,35.553064,129.254432
164,2019,인천광역시,24280688,87963593,37.455307,126.70392
165,2019,전라남도,32385388,74618019,34.867289,126.993547
166,2019,전라북도,22280691,49506041,35.717518,127.156528
167,2019,제주특별자치도,5374284,19186190,33.424967,126.778084
168,2019,충청남도,52644854,112310782,36.717428,126.801751
169,2019,충청북도,26732304,66927772,36.999466,127.700783
170,2020,강원도,16120066,44829136,37.820812,128.156579
171,2020,경기도,124688963,470022670,37.412505,127.520017
172,2020,경상남도,34069974,103425415,35.460156,128.215601
173,2020,경상북도,41001627,101370158,36.327952,128.951526
174,2020,광주광역시,8531109,39530642,35.15484,126.836647
175,2020,대구광역시,14758568,53668577,35.825757,128.576897
176,2020,대전광역시,9405219,41208249,36.339403,127.396923
177,2020,부산광역시,20503969,85962709,35.209853,129.069121
178,2020,서울특별시,45787925,417638547,37.551638,126.993243
179,2020,세종특별자치시,3393224,11647981,36.560326,127.258638
180,2020,울산광역시,33157837,67136435,35.553064,129.254432
181,2020,인천광역시,23638582,84907539,37.455307,126.70392
182,2020,전라남도,30973974,74972494,34.867289,126.993547
183,2020,전라북도,20538911,49116252,35.717518,127.156528
184,2020,제주특별자치도,5373287,17957495,33.424967,126.778084
185,2020,충청남도,50422733,112762058,36.717428,126.801751
186,2020,충청북도,26901893,65926194,36.999466,127.700783
187,2021,강원도,16808007,46476220,37.820812,128.156579
188,2021,경기도,133445949,496672331,37.412505,127.520017
189,2021,경상남도,35734060,105347557,35.460156,128.215601
190,2021,경상북도,44258296,104960491,36.327952,128.951526
191,2021,광주광역시,8973447,41118247,35.15484,126.836647
192,2021,대구광역시,15443948,56026338,35.825757,128.576897
193,2021,대전광역시,9748621,42368245,36.339403,127.396923
194,2021,부산광역시,21067832,87906722,35.209853,129.069121
195,2021,서울특별시,47295806,432406018,37.551638,126.993243
196,2021,세종특별자치시,4295362,12489323,36.560326,127.258638
197,2021,울산광역시,33593122,69621279,35.553064,129.254432
198,2021,인천광역시,24901194,89984023,37.455307,126.70392
199,2021,전라남도,33486887,77027126,34.867289,126.993547
200,2021,전라북도,21486859,50398818,35.717518,127.156528
201,2021,제주특별자치도,5687731,18175224,33.424967,126.778084
202,2021,충청남도,48801625,118002148,36.717428,126.801751
203,2021,충청북도,28402061,70139551,36.999466,127.700783
