,연월,시도,인구밀도,연도,월,사용량
221,2017.06,부산광역시,4528,2017,6,1520498
222,2017.07,부산광역시,4525,2017,7,8918913
223,2017.08,부산광역시,4524,2017,8,2931864
224,2017.09,부산광역시,4523,2017,9,3684612
225,2017.1,부산광역시,4517,2017,10,717292
226,2017.11,부산광역시,4512,2017,11,1336667
227,2017.12,부산광역시,4507,2017,12,825822
228,2018.01,부산광역시,4502,2018,1,1837733
229,2018.02,부산광역시,4500,2018,2,4264449
230,2018.03,부산광역시,4497,2018,3,0
231,2018.04,부산광역시,4494,2018,4,2121380
232,2018.05,부산광역시,4491,2018,5,1883873
233,2018.06,부산광역시,4487,2018,6,2252039
234,2018.07,부산광역시,4484,2018,7,1841244
235,2018.08,부산광역시,4481,2018,8,341807
236,2018.09,부산광역시,4479,2018,9,3586953
237,2018.1,부산광역시,4476,2018,10,1767686
238,2018.11,부산광역시,4473,2018,11,1546100
239,2018.12,부산광역시,4469,2018,12,9311873
240,2019.01,부산광역시,4465,2019,1,3129982
241,2019.02,부산광역시,4462,2019,2,3832480
242,2019.03,부산광역시,4459,2019,3,737378
243,2019.04,부산광역시,4456,2019,4,1375774
244,2019.05,부산광역시,4454,2019,5,846326
245,2019.06,부산광역시,4451,2019,6,1890655
246,2019.07,부산광역시,4448,2019,7,4298788
247,2019.08,부산광역시,4445,2019,8,0
248,2019.09,부산광역시,4443,2019,9,2398278
249,2019.1,부산광역시,4440,2019,10,2070475
250,2019.11,부산광역시,4437,2019,11,2382964
251,2019.12,부산광역시,4433,2019,12,1959294
252,2020.01,부산광역시,4430,2020,1,358007
253,2020.02,부산광역시,4429,2020,2,3877003
254,2020.03,부산광역시,4428,2020,3,1900372
255,2020.04,부산광역시,4426,2020,4,1494196
256,2020.05,부산광역시,4424,2020,5,9265981
257,2020.06,부산광역시,4421,2020,6,3003028
258,2020.07,부산광역시,4419,2020,7,3717744
259,2020.08,부산광역시,4416,2020,8,709493
260,2020.09,부산광역시,4415,2020,9,1336301
261,2020.1,부산광역시,4412,2020,10,824259
262,2020.11,부산광역시,4409,2020,11,1793538
263,2020.12,부산광역시,4405,2020,12,4189413
264,2021.01,부산광역시,4401,2021,1,198312
265,2021.02,부산광역시,4399,2021,2,2307962
266,2021.03,부산광역시,4379,2021,3,1981709
267,2021.04,부산광역시,4376,2021,4,2462649
268,2021.05,부산광역시,4373,2021,5,1840946
269,2021.06,부산광역시,4369,2021,6,370123
270,2021.07,부산광역시,4365,2021,7,3622246
271,2021.08,부산광역시,4363,2021,8,1878491
272,2021.09,부산광역시,4362,2021,9,1447941
273,2021.1,부산광역시,4358,2021,10,9131444
