,연월,시도,인구수,연도,월
263,2020.12,부산광역시,3391946,2020,12
264,2021.01,부산광역시,3389388,2021,01
265,2021.02,부산광역시,3387761,2021,02
266,2021.03,부산광역시,3372399,2021,03
267,2021.04,부산광역시,3369704,2021,04
268,2021.05,부산광역시,3367334,2021,05
269,2021.06,부산광역시,3364358,2021,06
270,2021.07,부산광역시,3361781,2021,07
271,2021.08,부산광역시,3359527,2021,08
272,2021.09,부산광역시,3358763,2021,09
273,2021.1,부산광역시,3356311,2021,10
274,2021.11,부산광역시,3353627,2021,11
275,2021.12,부산광역시,3350380,2021,12
276,2022.01,부산광역시,3348874,2022,01
277,2022.02,부산광역시,3347396,2022,02
278,2022.03,부산광역시,3343504,2022,03
279,2022.04,부산광역시,3340214,2022,04
280,2022.05,부산광역시,3338167,2022,05
281,2022.06,부산광역시,3336737,2022,06
282,2022.07,부산광역시,3334595,2022,07
283,2022.08,부산광역시,3331444,2022,08
284,2022.09,부산광역시,3323826,2022,09
285,2022.1,부산광역시,3322286,2022,10
286,2022.11,부산광역시,3320276,2022,11
287,2022.12,부산광역시,3317812,2022,12
288,2011.01,대구광역시,2512071,2011,01
289,2011.02,대구광역시,2512321,2011,02
290,2011.03,대구광역시,2511231,2011,03
291,2011.04,대구광역시,2510773,2011,04
292,2011.05,대구광역시,2510644,2011,05
293,2011.06,대구광역시,2510243,2011,06
294,2011.07,대구광역시,2509833,2011,07
295,2011.08,대구광역시,2510079,2011,08
296,2011.09,대구광역시,2509609,2011,09
297,2011.1,대구광역시,2509297,2011,10
298,2011.11,대구광역시,2508935,2011,11
299,2011.12,대구광역시,2507271,2011,12
300,2012.01,대구광역시,2508370,2012,01
301,2012.02,대구광역시,2508563,2012,02
302,2012.03,대구광역시,2507586,2012,03
303,2012.04,대구광역시,2507310,2012,04
304,2012.05,대구광역시,2507022,2012,05
305,2012.06,대구광역시,2506977,2012,06
306,2012.07,대구광역시,2506969,2012,07
307,2012.08,대구광역시,2507715,2012,08
308,2012.09,대구광역시,2507791,2012,09
309,2012.1,대구광역시,2507571,2012,10
310,2012.11,대구광역시,2507910,2012,11
311,2012.12,대구광역시,2505644,2012,12
312,2013.01,대구광역시,2504945,2013,01
313,2013.02,대구광역시,2505040,2013,02
314,2013.03,대구광역시,2504623,2013,03
315,2013.04,대구광역시,2504888,2013,04
316,2013.05,대구광역시,2505083,2013,05
317,2013.06,대구광역시,2503728,2013,06
318,2013.07,대구광역시,2503604,2013,07
319,2013.08,대구광역시,2503400,2013,08
320,2013.09,대구광역시,2503679,2013,09
321,2013.1,대구광역시,2503648,2013,10
322,2013.11,대구광역시,2503283,2013,11
