,년월,연도,월,시도,사용량,위도,경도
153,2019_1,2019,1,경기도,11610400,37.412505,127.520017
154,2020_1,2020,1,경기도,11278340,37.412505,127.520017
155,2021_1,2021,1,경기도,12319589,37.412505,127.520017
156,2010_2,2010,2,경기도,8341902,37.412505,127.520017
157,2011_2,2011,2,경기도,8918913,37.412505,127.520017
158,2012_2,2012,2,경기도,9311873,37.412505,127.520017
159,2013_2,2013,2,경기도,9265981,37.412505,127.520017
160,2014_2,2014,2,경기도,9131444,37.412505,127.520017
161,2015_2,2015,2,경기도,9380604,37.412505,127.520017
162,2016_2,2016,2,경기도,9892365,37.412505,127.520017
163,2017_2,2017,2,경기도,10228593,37.412505,127.520017
164,2018_2,2018,2,경기도,11183300,37.412505,127.520017
165,2019_2,2019,2,경기도,10712180,37.412505,127.520017
166,2020_2,2020,2,경기도,10853826,37.412505,127.520017
167,2021_2,2021,2,경기도,11464174,37.412505,127.520017
168,2010_3,2010,3,경기도,7574084,37.412505,127.520017
169,2011_3,2011,3,경기도,8206234,37.412505,127.520017
170,2012_3,2012,3,경기도,8665829,37.412505,127.520017
171,2013_3,2013,3,경기도,8564516,37.412505,127.520017
172,2014_3,2014,3,경기도,8604750,37.412505,127.520017
173,2015_3,2015,3,경기도,8783408,37.412505,127.520017
174,2016_3,2016,3,경기도,9305513,37.412505,127.520017
175,2017_3,2017,3,경기도,9551033,37.412505,127.520017
176,2018_3,2018,3,경기도,9993520,37.412505,127.520017
177,2019_3,2019,3,경기도,10069948,37.412505,127.520017
178,2020_3,2020,3,경기도,10401852,37.412505,127.520017
179,2021_3,2021,3,경기도,10668287,37.412505,127.520017
180,2010_4,2010,4,경기도,7727001,37.412505,127.520017
181,2011_4,2011,4,경기도,7992730,37.412505,127.520017
182,2012_4,2012,4,경기도,8233401,37.412505,127.520017
183,2013_4,2013,4,경기도,8420099,37.412505,127.520017
184,2014_4,2014,4,경기도,8295696,37.412505,127.520017
185,2015_4,2015,4,경기도,8597671,37.412505,127.520017
186,2016_4,2016,4,경기도,8712878,37.412505,127.520017
187,2017_4,2017,4,경기도,9094729,37.412505,127.520017
188,2018_4,2018,4,경기도,9563138,37.412505,127.520017
189,2019_4,2019,4,경기도,9948716,37.412505,127.520017
190,2020_4,2020,4,경기도,9788491,37.412505,127.520017
191,2021_4,2021,4,경기도,10338339,37.412505,127.520017
192,2010_5,2010,5,경기도,7156767,37.412505,127.520017
193,2011_5,2011,5,경기도,7414139,37.412505,127.520017
194,2012_5,2012,5,경기도,7590572,37.412505,127.520017
195,2013_5,2013,5,경기도,7916514,37.412505,127.520017
196,2014_5,2014,5,경기도,7798652,37.412505,127.520017
197,2015_5,2015,5,경기도,7993045,37.412505,127.520017
198,2016_5,2016,5,경기도,8135623,37.412505,127.520017
199,2017_5,2017,5,경기도,8531719,37.412505,127.520017
200,2018_5,2018,5,경기도,9270783,37.412505,127.520017
201,2019_5,2019,5,경기도,9416781,37.412505,127.520017
202,2020_5,2020,5,경기도,9306590,37.412505,127.520017
203,2021_5,2021,5,경기도,10024930,37.412505,127.520017
204,2010_6,2010,6,경기도,7152029,37.412505,127.520017
205,2011_6,2011,6,경기도,7452141,37.412505,127.520017
206,2012_6,2012,6,경기도,7684878,37.412505,127.520017
207,2013_6,2013,6,경기도,7896863,37.412505,127.520017
208,2014_6,2014,6,경기도,7996787,37.412505,127.520017
209,2015_6,2015,6,경기도,8187214,37.412505,127.520017
210,2016_6,2016,6,경기도,8507386,37.412505,127.520017
211,2017_6,2017,6,경기도,8873250,37.412505,127.520017
212,2018_6,2018,6,경기도,9487505,37.412505,127.520017
213,2019_6,2019,6,경기도,9505754,37.412505,127.520017
214,2020_6,2020,6,경기도,9860838,37.412505,127.520017
215,2021_6,2021,6,경기도,10512799,37.412505,127.520017
216,2010_7,2010,7,경기도,7589292,37.412505,127.520017
217,2011_7,2011,7,경기도,7828198,37.412505,127.520017
218,2012_7,2012,7,경기도,8256552,37.412505,127.520017
