,년월,연도,월,시도,사용량
221,2011.2,2011,02,강원도,1520498
222,2011.2,2011,02,경기도,8918913
223,2011.2,2011,02,경상남도,2931864
224,2011.2,2011,02,경상북도,3684612
225,2011.2,2011,02,광주광역시,717292
226,2011.2,2011,02,대구광역시,1336667
227,2011.2,2011,02,대전광역시,825822
228,2011.2,2011,02,부산광역시,1837733
229,2011.2,2011,02,서울특별시,4264449
230,2011.2,2011,02,세종특별자치시,0
231,2011.2,2011,02,울산광역시,2121380
232,2011.2,2011,02,인천광역시,1883873
233,2011.2,2011,02,전라남도,2252039
234,2011.2,2011,02,전라북도,1841244
235,2011.2,2011,02,제주특별자치도,341807
236,2011.2,2011,02,충청남도,3586953
237,2011.2,2011,02,충청북도,1767686
238,2012.2,2012,02,강원도,1546100
239,2012.2,2012,02,경기도,9311873
240,2012.2,2012,02,경상남도,3129982
241,2012.2,2012,02,경상북도,3832480
242,2012.2,2012,02,광주광역시,737378
243,2012.2,2012,02,대구광역시,1375774
244,2012.2,2012,02,대전광역시,846326
245,2012.2,2012,02,부산광역시,1890655
246,2012.2,2012,02,서울특별시,4298788
247,2012.2,2012,02,세종특별자치시,0
248,2012.2,2012,02,울산광역시,2398278
249,2012.2,2012,02,인천광역시,2070475
250,2012.2,2012,02,전라남도,2382964
251,2012.2,2012,02,전라북도,1959294
252,2012.2,2012,02,제주특별자치도,358007
253,2012.2,2012,02,충청남도,3877003
254,2012.2,2012,02,충청북도,1900372
255,2013.2,2013,02,강원도,1494196
256,2013.2,2013,02,경기도,9265981
257,2013.2,2013,02,경상남도,3003028
258,2013.2,2013,02,경상북도,3717744
259,2013.2,2013,02,광주광역시,709493
260,2013.2,2013,02,대구광역시,1336301
261,2013.2,2013,02,대전광역시,824259
262,2013.2,2013,02,부산광역시,1793538
263,2013.2,2013,02,서울특별시,4189413
264,2013.2,2013,02,세종특별자치시,198312
265,2013.2,2013,02,울산광역시,2307962
266,2013.2,2013,02,인천광역시,1981709
267,2013.2,2013,02,전라남도,2462649
268,2013.2,2013,02,전라북도,1840946
269,2013.2,2013,02,제주특별자치도,370123
270,2013.2,2013,02,충청남도,3622246
271,2013.2,2013,02,충청북도,1878491
272,2014.2,2014,02,강원도,1447941
273,2014.2,2014,02,경기도,9131444
274,2014.2,2014,02,경상남도,3029916
275,2014.2,2014,02,경상북도,3841506
276,2014.2,2014,02,광주광역시,723756
277,2014.2,2014,02,대구광역시,1314569
278,2014.2,2014,02,대전광역시,806306
279,2014.2,2014,02,부산광역시,1741473
280,2014.2,2014,02,서울특별시,3974971
281,2014.2,2014,02,세종특별자치시,201659
282,2014.2,2014,02,울산광역시,2369736
283,2014.2,2014,02,인천광역시,1927635
284,2014.2,2014,02,전라남도,2541771
285,2014.2,2014,02,전라북도,1936290
