,연도,시도,병상수,사용량,위도,경도
167,2013,경상남도,54236,33530620,35.460156,128.215601
168,2014,경상남도,56126,33435158,35.460156,128.215601
169,2015,경상남도,57176,33876325,35.460156,128.215601
170,2016,경상남도,60888,34497474,35.460156,128.215601
171,2017,경상남도,61966,34647863,35.460156,128.215601
172,2018,경상남도,64346,35158611,35.460156,128.215601
173,2019,경상남도,62527,34472017,35.460156,128.215601
174,2020,경상남도,64261,34069974,35.460156,128.215601
175,2021,경상남도,64596,35734060,35.460156,128.215601
176,2011,제주특별자치도,4135,3710080,33.424967,126.778084
177,2012,제주특별자치도,4239,3864639,33.424967,126.778084
178,2013,제주특별자치도,4616,4094900,33.424967,126.778084
179,2014,제주특별자치도,4669,4220090,33.424967,126.778084
180,2015,제주특별자치도,4853,4429551,33.424967,126.778084
181,2016,제주특별자치도,5055,4738201,33.424967,126.778084
182,2017,제주특별자치도,4863,5013544,33.424967,126.778084
183,2018,제주특별자치도,4940,5272603,33.424967,126.778084
184,2019,제주특별자치도,4854,5374284,33.424967,126.778084
185,2020,제주특별자치도,4914,5373287,33.424967,126.778084
186,2021,제주특별자치도,5090,5687731,33.424967,126.778084
