,연도,시도,월,사용량
666,2013,경상북도,04,3721222
667,2013,광주광역시,04,682512
668,2013,대구광역시,04,1220101
669,2013,대전광역시,04,744219
670,2013,부산광역시,04,1666780
671,2013,서울특별시,04,3638393
672,2013,세종특별자치시,04,193422
673,2013,울산광역시,04,2389607
674,2013,인천광역시,04,1858262
675,2013,전라남도,04,2526041
676,2013,전라북도,04,1859911
677,2013,제주특별자치도,04,342968
678,2013,충청남도,04,3708208
679,2013,충청북도,04,1848760
680,2014,강원도,04,1313298
681,2014,경기도,04,8295696
682,2014,경상남도,04,2820219
683,2014,경상북도,04,3880598
684,2014,광주광역시,04,671402
685,2014,대구광역시,04,1222595
686,2014,대전광역시,04,732896
687,2014,부산광역시,04,1665838
688,2014,서울특별시,04,3466188
689,2014,세종특별자치시,04,200310
690,2014,울산광역시,04,2493939
691,2014,인천광역시,04,1815977
692,2014,전라남도,04,2709942
693,2014,전라북도,04,1871011
694,2014,제주특별자치도,04,362046
695,2014,충청남도,04,3889221
696,2014,충청북도,04,1842677
697,2015,강원도,04,1376925
698,2015,경기도,04,8597671
699,2015,경상남도,04,2888704
700,2015,경상북도,04,3821201
701,2015,광주광역시,04,682684
702,2015,대구광역시,04,1244033
703,2015,대전광역시,04,746537
704,2015,부산광역시,04,1671290
705,2015,서울특별시,04,3512071
706,2015,세종특별자치시,04,222824
707,2015,울산광역시,04,2510891
708,2015,인천광역시,04,1913281
709,2015,전라남도,04,2789053
710,2015,전라북도,04,1902282
711,2015,제주특별자치도,04,381372
712,2015,충청남도,04,3879019
713,2015,충청북도,04,1924405
714,2016,강원도,04,1451457
715,2016,경기도,04,8712878
716,2016,경상남도,04,2864110
717,2016,경상북도,04,3683982
718,2016,광주광역시,04,675078
719,2016,대구광역시,04,1216827
720,2016,대전광역시,04,738081
721,2016,부산광역시,04,1647106
722,2016,서울특별시,04,3457927
723,2016,세종특별자치시,04,225166
724,2016,울산광역시,04,2652322
725,2016,인천광역시,04,1903770
726,2016,전라남도,04,2666903
727,2016,전라북도,04,1862918
728,2016,제주특별자치도,04,393203
729,2016,충청남도,04,3938652
730,2016,충청북도,04,2033076
731,2017,강원도,04,1390748
732,2017,경기도,04,9094729
733,2017,경상남도,04,2879081
734,2017,경상북도,04,3668403
735,2017,광주광역시,04,698719
736,2017,대구광역시,04,1234859
737,2017,대전광역시,04,748954
738,2017,부산광역시,04,1696125
739,2017,서울특별시,04,3470755
