,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2017.11,51774649,9870167,3474534,2476557,2948241,1466328,1504307,1165317,276879,12858161,1549344,1594005,2115586,1853886,1894426,2691878,3379020,656013
2017.12,51778544,9857426,3470653,2475231,2948542,1463770,1502227,1165132,280100,12873895,1550142,1594432,2116770,1854607,1896424,2691706,3380404,657083
2018.01,51779148,9851767,3467055,2474309,2950771,1464037,1501378,1164489,283198,12890445,1548078,1593903,2117685,1851694,1893444,2688747,3379981,658167
2018.02,51779892,9845336,3465407,2473466,2951629,1463100,1499187,1163151,288079,12908010,1546259,1594066,2118099,1849543,1891308,2685633,3378430,659189
2018.03,51784669,9838892,3463103,2472175,2951442,1462033,1497572,1162074,291182,12925761,1546152,1594708,2119468,1848066,1890423,2683661,3377516,660441
2018.04,51790131,9830452,3460707,2471136,2952476,1460972,1496123,1161303,295041,12941604,1545452,1595164,2120666,1847089,1890412,2682897,3377126,661511
2018.05,51796179,9820971,3458134,2469936,2953255,1460564,1495234,1160657,297604,12958648,1545291,1595822,2121618,1846144,1889726,2682316,3377626,662633
2018.06,51801449,9814049,3455611,2469617,2953883,1460745,1494878,1159594,300332,12975176,1544843,1595772,2122220,1844639,1887991,2681090,3377483,663526
2018.07,51806977,9806538,3453198,2468824,2953841,1461203,1495029,1158847,302703,12993165,1544258,1596161,2122531,1843009,1886297,2679546,3377248,664579
2018.08,51812153,9799075,3451049,2467385,2953206,1461463,1494286,1157964,305648,13012486,1543668,1596324,2123368,1841427,1884285,2678272,3376730,665517
2018.09,51817851,9793003,3449593,2466454,2953116,1461790,1493654,1157420,308068,13027338,1543780,1596734,2123776,1840544,1882637,2677762,3376031,666151
2018.10,51821881,9784112,3446856,2465145,2953333,1461904,1492589,1156917,310403,13045223,1543441,1597709,2124524,1839358,1881420,2676904,3375357,666686
2018.11,51824477,9774088,3444540,2464002,2953844,1461009,1491716,1156260,312103,13061074,1543556,1598184,2125409,1838049,1881518,2677014,3375047,667064
2018.12,51826059,9765623,3441453,2461769,2954642,1459336,1489936,1155623,314126,13077153,1543052,1599252,2126282,1836832,1882970,2676831,3373988,667191
2019.01,51826287,9766288,3438259,2460382,2955916,1459832,1488725,1154786,316814,13090648,1541693,1599155,2125797,1834532,1878904,2674005,3373214,667337
2019.02,51829538,9770638,3436230,2458138,2956063,1459208,1487605,1153735,320326,13104696,1540445,1598868,2125372,1832227,1875862,2671587,3371016,667522
2019.03,51833175,9770216,3434091,2455829,2956513,1458930,1486647,1152800,322693,13116579,1540488,1598775,2125778,1830499,1874232,2671036,3369949,668120
2019.04,51836763,9766886,3431750,2454154,2956700,1458940,1485509,1152293,324417,13129508,1540794,1599488,2125912,1829273,1873183,2670375,3368933,668648
2019.05,51840339,9762062,3429595,2452291,2957179,1459003,1484398,1151685,325777,13145482,1540776,1599854,2125732,1827871,1871718,2669731,3367857,669328
2019.06,51842636,9757144,3427632,2450478,2957024,1459024,1482938,1151301,327643,13159178,1540855,1599650,2125855,1826717,1870587,2669850,3366989,669771
2019.07,51845612,9751415,3425317,2448666,2956828,1459486,1481701,1150891,330298,13176011,1540714,1599368,2125349,1825381,1868856,2668836,3366286,670209
