,연월,시도,고용률,연도,월
432,2020.01,대구광역시,56.7,2020,01
433,2020.02,대구광역시,56.8,2020,02
434,2020.03,대구광역시,53.6,2020,03
435,2020.04,대구광역시,54.0,2020,04
436,2020.05,대구광역시,55.9,2020,05
437,2020.06,대구광역시,56.9,2020,06
438,2020.07,대구광역시,57.1,2020,07
439,2020.08,대구광역시,57.6,2020,08
440,2020.09,대구광역시,57.7,2020,09
441,2020.10,대구광역시,57.7,2020,10
442,2020.11,대구광역시,58.3,2020,11
443,2020.12,대구광역시,57.5,2020,12
444,2021.01,대구광역시,55.5,2021,01
445,2021.02,대구광역시,56.5,2021,02
446,2021.03,대구광역시,58.0,2021,03
447,2021.04,대구광역시,58.2,2021,04
448,2021.05,대구광역시,59.1,2021,05
449,2021.06,대구광역시,59.0,2021,06
450,2021.07,대구광역시,59.0,2021,07
451,2021.08,대구광역시,58.7,2021,08
452,2021.09,대구광역시,59.0,2021,09
453,2021.10,대구광역시,59.0,2021,10
454,2021.11,대구광역시,59.0,2021,11
455,2021.12,대구광역시,58.0,2021,12
456,2022.01,대구광역시,57.7,2022,01
457,2022.02,대구광역시,58.2,2022,02
458,2022.03,대구광역시,58.9,2022,03
459,2022.04,대구광역시,58.9,2022,04
460,2022.05,대구광역시,59.7,2022,05
461,2022.06,대구광역시,59.4,2022,06
462,2022.07,대구광역시,59.8,2022,07
463,2022.08,대구광역시,59.7,2022,08
464,2022.09,대구광역시,59.7,2022,09
465,2022.10,대구광역시,59.5,2022,10
466,2022.11,대구광역시,59.3,2022,11
467,2022.12,대구광역시,58.5,2022,12
468,2010.01,인천광역시,57.9,2010,01
469,2010.02,인천광역시,57.7,2010,02
470,2010.03,인천광역시,58.6,2010,03
471,2010.04,인천광역시,59.9,2010,04
472,2010.05,인천광역시,60.6,2010,05
473,2010.06,인천광역시,60.3,2010,06
474,2010.07,인천광역시,61.3,2010,07
475,2010.08,인천광역시,59.8,2010,08
476,2010.09,인천광역시,59.7,2010,09
477,2010.10,인천광역시,60.0,2010,10
478,2010.11,인천광역시,60.5,2010,11
479,2010.12,인천광역시,59.5,2010,12
480,2011.01,인천광역시,58.2,2011,01
481,2011.02,인천광역시,58.0,2011,02
482,2011.03,인천광역시,59.0,2011,03
483,2011.04,인천광역시,60.4,2011,04
484,2011.05,인천광역시,61.7,2011,05
485,2011.06,인천광역시,61.8,2011,06
486,2011.07,인천광역시,61.5,2011,07
487,2011.08,인천광역시,61.4,2011,08
488,2011.09,인천광역시,60.7,2011,09
489,2011.10,인천광역시,61.8,2011,10
490,2011.11,인천광역시,61.8,2011,11
491,2011.12,인천광역시,61.6,2011,12
492,2012.01,인천광역시,59.8,2012,01
493,2012.02,인천광역시,59.7,2012,02
494,2012.03,인천광역시,61.3,2012,03
495,2012.04,인천광역시,62.2,2012,04
496,2012.05,인천광역시,62.4,2012,05
497,2012.06,인천광역시,62.5,2012,06
498,2012.07,인천광역시,62.5,2012,07
499,2012.08,인천광역시,61.5,2012,08
500,2012.09,인천광역시,61.7,2012,09
501,2012.10,인천광역시,62.2,2012,10
502,2012.11,인천광역시,62.2,2012,11
503,2012.12,인천광역시,60.8,2012,12
504,2013.01,인천광역시,59.3,2013,01
505,2013.02,인천광역시,59.1,2013,02
506,2013.03,인천광역시,60.9,2013,03
507,2013.04,인천광역시,61.7,2013,04
508,2013.05,인천광역시,61.9,2013,05
509,2013.06,인천광역시,62.3,2013,06
510,2013.07,인천광역시,61.7,2013,07
511,2013.08,인천광역시,61.8,2013,08
512,2013.09,인천광역시,62.1,2013,09
513,2013.10,인천광역시,62.2,2013,10
514,2013.11,인천광역시,61.3,2013,11
515,2013.12,인천광역시,61.0,2013,12
516,2014.01,인천광역시,60.1,2014,01
517,2014.02,인천광역시,60.1,2014,02
518,2014.03,인천광역시,60.9,2014,03
519,2014.04,인천광역시,62.1,2014,04
520,2014.05,인천광역시,62.3,2014,05
521,2014.06,인천광역시,62.3,2014,06
522,2014.07,인천광역시,62.4,2014,07
523,2014.08,인천광역시,61.8,2014,08
524,2014.09,인천광역시,61.9,2014,09
525,2014.10,인천광역시,61.1,2014,10
526,2014.11,인천광역시,60.9,2014,11
527,2014.12,인천광역시,59.6,2014,12
528,2015.01,인천광역시,59.6,2015,01
529,2015.02,인천광역시,59.3,2015,02
530,2015.03,인천광역시,60.3,2015,03
531,2015.04,인천광역시,61.1,2015,04
532,2015.05,인천광역시,61.7,2015,05
533,2015.06,인천광역시,61.7,2015,06
534,2015.07,인천광역시,61.7,2015,07
535,2015.08,인천광역시,61.3,2015,08
536,2015.09,인천광역시,61.8,2015,09
537,2015.10,인천광역시,61.7,2015,10
538,2015.11,인천광역시,62.1,2015,11
539,2015.12,인천광역시,61.3,2015,12
540,2016.01,인천광역시,61.1,2016,01
541,2016.02,인천광역시,60.6,2016,02
542,2016.03,인천광역시,61.3,2016,03
543,2016.04,인천광역시,62.0,2016,04
544,2016.05,인천광역시,62.6,2016,05
545,2016.06,인천광역시,62.1,2016,06
546,2016.07,인천광역시,62.9,2016,07
547,2016.08,인천광역시,62.3,2016,08
548,2016.09,인천광역시,61.8,2016,09
549,2016.10,인천광역시,61.9,2016,10
550,2016.11,인천광역시,61.7,2016,11
551,2016.12,인천광역시,61.1,2016,12
552,2017.01,인천광역시,60.2,2017,01
553,2017.02,인천광역시,60.7,2017,02
554,2017.03,인천광역시,61.3,2017,03
555,2017.04,인천광역시,61.4,2017,04
556,2017.05,인천광역시,62.4,2017,05
557,2017.06,인천광역시,62.3,2017,06
558,2017.07,인천광역시,62.2,2017,07
559,2017.08,인천광역시,61.2,2017,08
560,2017.09,인천광역시,61.9,2017,09
561,2017.10,인천광역시,62.6,2017,10
562,2017.11,인천광역시,62.1,2017,11
563,2017.12,인천광역시,61.7,2017,12
564,2018.01,인천광역시,61.6,2018,01
565,2018.02,인천광역시,61.9,2018,02
566,2018.03,인천광역시,62.8,2018,03
567,2018.04,인천광역시,62.5,2018,04
568,2018.05,인천광역시,63.5,2018,05
569,2018.06,인천광역시,63.8,2018,06
570,2018.07,인천광역시,63.6,2018,07
571,2018.08,인천광역시,62.7,2018,08
572,2018.09,인천광역시,62.9,2018,09
573,2018.10,인천광역시,63.0,2018,10
574,2018.11,인천광역시,63.3,2018,11
575,2018.12,인천광역시,63.1,2018,12
576,2019.01,인천광역시,61.5,2019,01
577,2019.02,인천광역시,61.7,2019,02
578,2019.03,인천광역시,62.3,2019,03
579,2019.04,인천광역시,62.7,2019,04
580,2019.05,인천광역시,63.1,2019,05
581,2019.06,인천광역시,63.2,2019,06
582,2019.07,인천광역시,62.5,2019,07
583,2019.08,인천광역시,62.5,2019,08
584,2019.09,인천광역시,62.9,2019,09
585,2019.10,인천광역시,62.5,2019,10
586,2019.11,인천광역시,62.8,2019,11
587,2019.12,인천광역시,62.4,2019,12
588,2020.01,인천광역시,61.1,2020,01
589,2020.02,인천광역시,61.6,2020,02
590,2020.03,인천광역시,60.6,2020,03
591,2020.04,인천광역시,60.8,2020,04
592,2020.05,인천광역시,61.8,2020,05
593,2020.06,인천광역시,61.6,2020,06
594,2020.07,인천광역시,61.8,2020,07
595,2020.08,인천광역시,61.9,2020,08
596,2020.09,인천광역시,61.3,2020,09
597,2020.10,인천광역시,61.3,2020,10
598,2020.11,인천광역시,61.8,2020,11
599,2020.12,인천광역시,60.1,2020,12
600,2021.01,인천광역시,59.0,2021,01
601,2021.02,인천광역시,60.4,2021,02
602,2021.03,인천광역시,60.8,2021,03
603,2021.04,인천광역시,61.3,2021,04
604,2021.05,인천광역시,62.2,2021,05
605,2021.06,인천광역시,62.0,2021,06
606,2021.07,인천광역시,61.5,2021,07
607,2021.08,인천광역시,61.9,2021,08
608,2021.09,인천광역시,62.1,2021,09
609,2021.10,인천광역시,61.9,2021,10
610,2021.11,인천광역시,62.4,2021,11
611,2021.12,인천광역시,60.4,2021,12
612,2022.01,인천광역시,59.8,2022,01
613,2022.02,인천광역시,61.6,2022,02
614,2022.03,인천광역시,61.7,2022,03
615,2022.04,인천광역시,62.0,2022,04
616,2022.05,인천광역시,63.0,2022,05
617,2022.06,인천광역시,63.4,2022,06
618,2022.07,인천광역시,63.6,2022,07
619,2022.08,인천광역시,63.3,2022,08
620,2022.09,인천광역시,63.6,2022,09
621,2022.10,인천광역시,63.6,2022,10
622,2022.11,인천광역시,63.9,2022,11
623,2022.12,인천광역시,62.5,2022,12
624,2010.01,광주광역시,55.7,2010,01
625,2010.02,광주광역시,56.0,2010,02
626,2010.03,광주광역시,57.3,2010,03
627,2010.04,광주광역시,57.4,2010,04
628,2010.05,광주광역시,58.4,2010,05
629,2010.06,광주광역시,58.1,2010,06
630,2010.07,광주광역시,57.7,2010,07
631,2010.08,광주광역시,56.7,2010,08
632,2010.09,광주광역시,57.1,2010,09
633,2010.10,광주광역시,56.4,2010,10
