,연도,시도,사용량,공장면적,위도,경도
167,2013,충청남도,45466811,11321,36.717428,126.801751
168,2014,충청남도,47294961,11321,36.717428,126.801751
169,2015,충청남도,47286060,11321,36.717428,126.801751
170,2016,충청남도,48453932,11321,36.717428,126.801751
171,2017,충청남도,50180207,11321,36.717428,126.801751
172,2018,충청남도,52012704,11321,36.717428,126.801751
173,2019,충청남도,52644854,11321,36.717428,126.801751
174,2020,충청남도,50422733,11321,36.717428,126.801751
175,2021,충청남도,48801625,11321,36.717428,126.801751
176,2011,충청북도,20453353,9132,36.999466,127.700783
177,2012,충청북도,21361912,9132,36.999466,127.700783
178,2013,충청북도,21665045,9132,36.999466,127.700783
179,2014,충청북도,22179260,9132,36.999466,127.700783
180,2015,충청북도,22949033,9132,36.999466,127.700783
181,2016,충청북도,24008865,9132,36.999466,127.700783
182,2017,충청북도,24843380,9132,36.999466,127.700783
183,2018,충청북도,26239764,9132,36.999466,127.700783
184,2019,충청북도,26732304,9132,36.999466,127.700783
185,2020,충청북도,26901893,9132,36.999466,127.700783
186,2021,충청북도,28402061,9132,36.999466,127.700783
